"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD4 TCM","Interferon Alpha/Beta Signaling R-HSA-909733","Interferon Alpha/Beta Signaling R-HSA-909733","12/463","72/10489",6.52152506244364e-05,0.0383386838629129,0.0364810919976592,"EGR1/SOCS3/SAMHD1/IRF4/IFNAR1/KPNB1/HLA-F/IRF6/HLA-E/PSMB8/IFNAR2/IRF1",12
"2","CD4 TCM","Interferon Signaling R-HSA-913531","Interferon Signaling R-HSA-913531","22/463","200/10489",7.08008935603192e-05,0.0383386838629129,0.0364810919976592,"GBP5/BCL11B/EGR1/SMAD7/SOCS3/SP100/SAMHD1/IRF4/IFNAR1/KPNB1/HLA-F/NUP210/IRF6/PIAS1/PRKCD/HLA-E/NUP98/PSMB8/PPM1B/TRIM2/IFNAR2/IRF1",22
"3","CD4 TCM","Interferon Gamma Signaling R-HSA-877300","Interferon Gamma Signaling R-HSA-877300","13/463","89/10489",0.000133313095930067,0.0481260276307543,0.0457942178651004,"GBP5/BCL11B/SMAD7/SOCS3/SP100/IRF4/HLA-F/IRF6/PIAS1/PRKCD/HLA-E/TRIM2/IRF1",13
"4","CD8 TEM","Interleukin-2 Family Signaling R-HSA-451927","Interleukin-2 Family Signaling R-HSA-451927","10/400","44/10489",4.51023078155436e-06,0.00473574232063208,0.00449124033615834,"STAT5B/STAT4/SOS1/IL2RB/IL21R/SHC1/IL21/HAVCR2/PIK3R1/LCK",10
