"","Gene","U_l1","adP.value","Selection"
"1","FAM87B",-0.000796550745463703,0.825364050277347,FALSE
"2","LINC01128",-0.000796550745463608,0.825364050277368,FALSE
"3","LINC00115",-0.000962528886144477,0.789755209691575,FALSE
"4","FAM41C",-0.00121105670719969,0.737268480646381,FALSE
"5","LINC02593",0.00266424405748294,0.46050366632037,FALSE
"6","SAMD11",-0.000791328987694726,0.826490589980561,FALSE
"7","NOC2L",-0.000796550745463561,0.825364050277378,FALSE
"8","KLHL17",-0.000796550745463602,0.825364050277369,FALSE
"9","PLEKHN1",0.00185186310589604,0.607964282821635,FALSE
"10","PERM1",-0.000796550745463496,0.825364050277392,FALSE
"11","HES4",-0.00079655074546378,0.825364050277331,FALSE
"12","ISG15",-0.00102915045098857,0.775580379685677,FALSE
"13","AGRN",-0.000590374165350566,0.870094423215083,FALSE
"14","RNF223",0.00137105505688388,0.704098600396108,FALSE
"15","C1orf159",-0.00045452938143642,0.899804420763267,FALSE
"16","LINC01342",-0.000796550745463572,0.825364050277375,FALSE
"17","MIR200B",0.0138622327104929,0.000123057536335738,TRUE
"18","MIR429",-0.000796550745463635,0.825364050277362,FALSE
"19","TTLL10",-0.000236268899737607,0.947816950269778,FALSE
"20","TNFRSF18",-0.000872648770581744,0.808988637186663,FALSE
"21","TNFRSF4",-0.000796550745463518,0.825364050277387,FALSE
"22","SDF4",-0.000796550745463581,0.825364050277374,FALSE
"23","B3GALT6",-0.000796550745463638,0.825364050277361,FALSE
"24","C1QTNF12",0.00102318615255743,0.776846416170109,FALSE
"25","UBE2J2",0.000200561538555298,0.955694550989096,FALSE
"26","SCNN1D",-0.00430267481628106,0.23330960316108,FALSE
"27","MIR6726",5.06944896674387e-05,0.988795838986234,FALSE
"28","PUSL1",-0.000796550745463587,0.825364050277372,FALSE
"29","ACAP3",-0.000796550745463621,0.825364050277365,FALSE
"30","MIR6727",-0.000796550745463587,0.825364050277372,FALSE
"31","INTS11",-0.000796550745463586,0.825364050277372,FALSE
"32","CPTP",-0.000796550745463586,0.825364050277372,FALSE
"33","TAS1R3",-0.000796550745463586,0.825364050277372,FALSE
"34","MIR6808",-0.000796550745463586,0.825364050277372,FALSE
"35","DVL1",-0.00461287009158884,0.201318773101941,FALSE
"36","MXRA8",-0.000796550745463586,0.825364050277372,FALSE
"37","AURKAIP1",-0.000796550745463586,0.825364050277372,FALSE
"38","CCNL2",-0.000796550745463586,0.825364050277372,FALSE
"39","MRPL20-AS1",-0.000796550745463586,0.825364050277372,FALSE
"40","MRPL20",-0.000796550745463586,0.825364050277372,FALSE
"41","ANKRD65",-0.000796550745463586,0.825364050277372,FALSE
"42","TMEM88B",-0.000796550745463586,0.825364050277372,FALSE
"43","LINC01770",-0.00111262112957637,0.757926120546461,FALSE
"44","VWA1",-0.000864954622376096,0.810640660640873,FALSE
"45","ATAD3B",-0.000796550745463586,0.825364050277372,FALSE
"46","ATAD3A",0.0139481841654598,0.00011165359012831,TRUE
"47","TMEM240",-0.000796550745463586,0.825364050277372,FALSE
"48","SSU72",-0.000796550745463586,0.825364050277372,FALSE
"49","FNDC10",0.00089713972295944,0.803735842932658,FALSE
"50","MIB2",-0.000796550745463586,0.825364050277372,FALSE
"51","MMP23B",-0.000796550745463586,0.825364050277372,FALSE
"52","MMP23A",-0.000796550745463586,0.825364050277372,FALSE
"53","CDK11B",-0.000796550745463586,0.825364050277372,FALSE
"54","SLC35E2B",-0.00052368279528231,0.884659957524642,FALSE
"55","CDK11A",0.00244968314074074,0.497402378775004,FALSE
"56","SLC35E2A",-0.000796550745463586,0.825364050277372,FALSE
"57","NADK",-0.00158339447525615,0.660941665545496,FALSE
"58","GNB1",0.00470697031414804,0.192277946969248,FALSE
"59","CALML6",-0.000796550745463586,0.825364050277372,FALSE
"60","TMEM52",-0.000796550745463586,0.825364050277372,FALSE
"61","CFAP74",0.00602693396520212,0.0950161930802924,FALSE
"62","GABRD",-0.000796550745463586,0.825364050277372,FALSE
"63","PRKCZ",0.00298949665685476,0.407605139003756,FALSE
"64","FAAP20",0.00755165656805203,0.0364500009379622,FALSE
"65","SKI",-0.025808699730436,8.72696317130729e-13,TRUE
"66","MORN1",0.0297653051407918,1.64833351561606e-16,TRUE
"67","RER1",-0.000796550745463586,0.825364050277372,FALSE
"68","PEX10",0.0148336210728895,3.9731361277902e-05,TRUE
"69","PLCH2",-0.000796550745463586,0.825364050277372,FALSE
"70","PANK4",0.00189407852954045,0.599808796591868,FALSE
"71","HES5",-0.00101532084478897,0.778516884368327,FALSE
"72","TNFRSF14",-0.0217787285393696,1.61054254977206e-09,TRUE
"73","TNFRSF14-AS1",-0.000796550745463586,0.825364050277372,FALSE
"74","LOC100996583",-0.00127756961699081,0.723415774991557,FALSE
"75","PRXL2B",-0.000796550745463586,0.825364050277372,FALSE
"76","MMEL1",0.00226537667134374,0.530313080729039,FALSE
"77","TTC34",-0.0008891133239359,0.805456373014314,FALSE
"78","ACTRT2",-0.00212894954956653,0.555367174866365,FALSE
"79","LINC00982",-0.000796550745463586,0.825364050277372,FALSE
"80","PRDM16",0.00723407266236583,0.0450809616587877,FALSE
"81","ARHGEF16",-0.00145872864528202,0.686153923091993,FALSE
"82","MIR551A",-0.000796550745463586,0.825364050277372,FALSE
"83","MEGF6",-0.000361466685668785,0.920241693386577,FALSE
"84","TPRG1L",-0.000796550745463586,0.825364050277372,FALSE
"85","TP73",-0.000796550745463586,0.825364050277372,FALSE
"86","WRAP73",0.0157899238362657,1.2202386242338e-05,TRUE
