"","Gene","U_l1","adP.value","Selection"
"1","FAM87B",0.00482091448907396,0.291468911490748,FALSE
"2","LINC01128",-9.37561758949509e-05,0.983632087961915,FALSE
"3","LINC00115",-0.0107786148503697,0.0183460408134427,FALSE
"4","FAM41C",-0.000777674743886273,0.864876815146096,FALSE
"5","LINC02593",-9.37561758949026e-05,0.983632087961923,FALSE
"6","SAMD11",-0.00221239879390359,0.628305305542655,FALSE
"7","NOC2L",0.00221919435243802,0.627250431414495,FALSE
"8","KLHL17",-9.37561758951046e-05,0.983632087961888,FALSE
"9","PLEKHN1",-9.37561758950145e-05,0.983632087961904,FALSE
"10","PERM1",-0.000777674743886376,0.864876815146078,FALSE
"11","HES4",0.0530385925740323,3.84984183618305e-31,TRUE
"12","ISG15",0.0204931096353327,7.31642941648362e-06,TRUE
"13","AGRN",-9.37561758951065e-05,0.983632087961888,FALSE
"14","RNF223",-0.0013832481406219,0.762133650778606,FALSE
"15","C1orf159",0.00320366576298451,0.483289938094299,FALSE
"16","LINC01342",-0.000777674743886318,0.864876815146088,FALSE
"17","MIR200B",0.000266051935122982,0.953575736922019,FALSE
"18","MIR429",-9.37561758950273e-05,0.983632087961902,FALSE
"19","TTLL10",-9.37561758950273e-05,0.983632087961902,FALSE
"20","TNFRSF18",-9.37561758950273e-05,0.983632087961902,FALSE
"21","TNFRSF4",-9.37561758950273e-05,0.983632087961902,FALSE
"22","SDF4",-9.37561758950273e-05,0.983632087961902,FALSE
"23","B3GALT6",-0.00112491825620692,0.805563958410247,FALSE
"24","C1QTNF12",0.000262052103653464,0.954272909991107,FALSE
"25","UBE2J2",-9.37561758950273e-05,0.983632087961902,FALSE
"26","SCNN1D",-0.000492588631826652,0.914164300882381,FALSE
"27","MIR6726",-9.37561758950273e-05,0.983632087961902,FALSE
"28","PUSL1",0.00247727239174068,0.587768401527454,FALSE
"29","ACAP3",-9.37561758950273e-05,0.983632087961902,FALSE
"30","MIR6727",0.000884887001596676,0.846465965687674,FALSE
"31","INTS11",-9.37561758950273e-05,0.983632087961902,FALSE
"32","CPTP",-9.37561758950273e-05,0.983632087961902,FALSE
"33","TAS1R3",0.000621860214671473,0.891762429355075,FALSE
"34","MIR6808",-9.37561758950273e-05,0.983632087961902,FALSE
"35","DVL1",-0.00338640581747913,0.458688688209043,FALSE
"36","MXRA8",-9.37561758950273e-05,0.983632087961902,FALSE
"37","AURKAIP1",0.0302003241392079,3.88532486863215e-11,TRUE
"38","CCNL2",-9.37561758950273e-05,0.983632087961902,FALSE
"39","MRPL20-AS1",-9.37561758950273e-05,0.983632087961902,FALSE
"40","MRPL20",-9.37561758950273e-05,0.983632087961902,FALSE
"41","ANKRD65",-9.37561758950273e-05,0.983632087961902,FALSE
"42","TMEM88B",-0.000766644692743657,0.866775277883232,FALSE
"43","LINC01770",-9.37561758950273e-05,0.983632087961902,FALSE
"44","VWA1",-9.37561758950273e-05,0.983632087961902,FALSE
"45","ATAD3B",-9.37561758950273e-05,0.983632087961902,FALSE
"46","ATAD3A",-0.00210268753149171,0.64543964893592,FALSE
"47","TMEM240",-0.000136780352278161,0.976122835995918,FALSE
"48","SSU72",0.00620947045809693,0.174227004261453,FALSE
"49","FNDC10",-0.00981708158143767,0.0317012142625917,FALSE
"50","MIB2",-0.0051585547296514,0.258987869725168,FALSE
"51","MMP23B",-9.37561758950273e-05,0.983632087961902,FALSE
"52","MMP23A",-9.37561758950273e-05,0.983632087961902,FALSE
"53","CDK11B",-9.37561758950273e-05,0.983632087961902,FALSE
"54","SLC35E2B",0.000266051935122982,0.953575736922019,FALSE
"55","CDK11A",-9.37561758950273e-05,0.983632087961902,FALSE
"56","SLC35E2A",0.00195200877620812,0.669280710492406,FALSE
"57","NADK",-0.013573844518526,0.00297599455501286,FALSE
"58","GNB1",0.0052653873885081,0.249253875940457,FALSE
"59","CALML6",0.00614783678439191,0.178541386116257,FALSE
"60","TMEM52",0.00247727239174068,0.587768401527454,FALSE
"61","CFAP74",-0.000146275078715221,0.974465929577995,FALSE
"62","GABRD",-0.00112491825620692,0.805563958410247,FALSE
"63","PRKCZ",-0.00437319107982772,0.338600270560812,FALSE
"64","FAAP20",-0.00634154864220698,0.165244438712838,FALSE
"65","SKI",-0.00205950985988518,0.652235615728849,FALSE
"66","MORN1",-0.000777674743886318,0.864876815146088,FALSE
"67","RER1",-9.37561758950273e-05,0.983632087961902,FALSE
"68","PEX10",-9.37561758950273e-05,0.983632087961902,FALSE
"69","PLCH2",0.000400726985386284,0.930125905317167,FALSE
"70","PANK4",-9.37561758950273e-05,0.983632087961902,FALSE
"71","HES5",-9.37561758950273e-05,0.983632087961902,FALSE
"72","TNFRSF14",0.00166365701796509,0.71582908480474,FALSE
"73","TNFRSF14-AS1",-9.37561758950273e-05,0.983632087961902,FALSE
"74","LOC100996583",-0.00225509433649426,0.621690357739615,FALSE
"75","PRXL2B",0.000691320922793185,0.879759795231448,FALSE
"76","MMEL1",-9.37561758950273e-05,0.983632087961902,FALSE
"77","TTC34",-0.000777674743886318,0.864876815146088,FALSE
"78","ACTRT2",0.00367188225243908,0.421700050943686,FALSE
"79","LINC00982",-9.37561758950273e-05,0.983632087961902,FALSE
"80","PRDM16",0.00016811551737479,0.970655026675482,FALSE
"81","ARHGEF16",-0.0044595145307972,0.329151813930217,FALSE
"82","MIR551A",0.000729361265642987,0.873198029394649,FALSE
"83","MEGF6",0.000884887001596676,0.846465965687674,FALSE
"84","TPRG1L",0.00201879956291542,0.658669797044883,FALSE
"85","TP73",-9.37561758950273e-05,0.983632087961902,FALSE
"86","WRAP73",0.00096864597216995,0.832140157376766,FALSE
"87","TP73-AS1",-0.00130276237600954,0.775591774705043,FALSE
"88","SMIM1",-9.37561758950273e-05,0.983632087961902,FALSE
"89","LRRC47",-9.37561758950273e-05,0.983632087961902,FALSE
"90","CEP104",0.000798709290328466,0.861258575453102,FALSE
"91","DFFB",-9.37561758950273e-05,0.983632087961902,FALSE
"92","C1orf174",-9.37561758950273e-05,0.983632087961902,FALSE
"93","LINC01134",-9.37561758950273e-05,0.983632087961902,FALSE
"94","LINC01346",-0.00117033577113492,0.797880587986449,FALSE
"95","LINC01777",0.000884887001596676,0.846465965687674,FALSE
"96","AJAP1",0.00127238645563624,0.780688783420227,FALSE
"97",NA,-0.00155183554460432,0.734180267312068,FALSE
"98","MIR4689",0.000200968433605385,0.964923863611714,FALSE
"99","KCNAB2",0.000364716652930238,0.936390989589623,FALSE
"100","NPHP4",-0.00294413159128289,0.519426230195335,FALSE
"101","CHD5",-0.0174368038982809,0.00013591120213144,TRUE
"102","RNF207",-9.37561758950273e-05,0.983632087961902,FALSE
"103","LOC102724450",-0.00112491825620692,0.805563958410247,FALSE
"104","RPL22",0.00498457737460462,0.275397361941259,FALSE
"105","ICMT",-9.37561758950273e-05,0.983632087961902,FALSE
"106","HES3",-0.00240738166247044,0.598346819587826,FALSE
"107","GPR153",-0.00174868080621943,0.701984110314612,FALSE
"108","ACOT7",0.00263383329737216,0.564391380361858,FALSE
"109","HES2",-9.37561758950273e-05,0.983632087961902,FALSE
"110","ESPN",-9.37561758950273e-05,0.983632087961902,FALSE
"111","MIR4252",-9.37561758950273e-05,0.983632087961902,FALSE
"112","TNFRSF25",-0.00112491825620692,0.805563958410247,FALSE
"113","PLEKHG5",0.000266051935122982,0.953575736922019,FALSE
"114","NOL9",-9.37561758950273e-05,0.983632087961902,FALSE
"115","ZBTB48",-0.0255252372943308,2.33174874583804e-08,TRUE
"116","PHF13",0.00190839217428544,0.676245969429746,FALSE
"117","KLHL21",-9.37561758950273e-05,0.983632087961902,FALSE
"118","THAP3",-0.0236970414238874,2.15611607841979e-07,TRUE
"119","DNAJC11",-0.00975950272637096,0.0327154102958969,FALSE
"120","LINC01672",-9.37561758950273e-05,0.983632087961902,FALSE
"121","CAMTA1",-0.0695869258597867,2.3445290226274e-52,TRUE
"122","VAMP3",0.0301300191937658,4.31020733664419e-11,TRUE
"123","PER3",-0.00433291790569712,0.343067308880047,FALSE
"124","UTS2",-9.37561758950273e-05,0.983632087961902,FALSE
"125","TNFRSF9",0.000884887001596676,0.846465965687674,FALSE
"126","PARK7",0.0109228931475341,0.0168424195712266,FALSE
"127","ERRFI1",0.00868919970290585,0.0572553189274465,FALSE
"128","LINC01714",-0.00673750097127295,0.140403781399377,FALSE
"129","SLC45A1",0.00176112330637883,0.699966157841106,FALSE
"130","RERE-AS1",0.00434287027029878,0.341959920014493,FALSE
"131","RERE",0.0021438767541442,0.638984121503976,FALSE
"132","MIR6728",-0.00869197495844572,0.0571758760895607,FALSE
"133","ENO1-AS1",0.000262052103653464,0.954272909991107,FALSE
"134","ENO1",0.00115581478697815,0.800335041507398,FALSE
"135","CA6",0.000398930931508142,0.930438283769172,FALSE
"136","SLC2A7",-0.00412603806541831,0.366603934686056,FALSE
"137","SLC2A5",-0.00112321752302687,0.805852044783968,FALSE
"138","GPR157",-0.0030781533412727,0.500593297765222,FALSE
"139","MIR34A",0.00462337545718551,0.311691305480092,FALSE
"140","LNCTAM34A",0.011056533241808,0.0155473014666808,FALSE
"141","MIR34AHG",-9.37561758950273e-05,0.983632087961902,FALSE
"142","H6PD",-0.00184803327005412,0.685930623060867,FALSE
"143","SPSB1",-1.65191243170425e-05,0.997115902505852,FALSE
"144","SLC25A33",-0.00717613932581525,0.116352034329661,FALSE
"145","TMEM201",0.00016523121811399,0.971158266885438,FALSE
"146","PIK3CD",-0.00601149307808971,0.188367047207941,FALSE
"147","PIK3CD-AS1",0.00232040109084093,0.611631197091552,FALSE
"148","PIK3CD-AS2",-0.014067333293562,0.00208261321619925,FALSE
"149","CLSTN1",0.00155948502232059,0.732919911303323,FALSE
"150","CTNNBIP1",0.000884887001596676,0.846465965687674,FALSE
"151","NMNAT1",-9.37561758950273e-05,0.983632087961902,FALSE
"152","LZIC",0.00750366046998751,0.100602680880343,FALSE
"153","MIR5697",-9.37561758950273e-05,0.983632087961902,FALSE
"154","RBP7",0.00179539827826984,0.694418348309029,FALSE
"155","UBE4B",-9.37561758950273e-05,0.983632087961902,FALSE
"156","KIF1B",0.00144316194524095,0.752161635589949,FALSE
"157","PGD",0.00265791312954724,0.560835976403088,FALSE
"158","CENPS-CORT",-0.00589954701945686,0.196728185343596,FALSE
"159","CENPS",-9.37561758950273e-05,0.983632087961902,FALSE
"160","CORT",-9.37561758950273e-05,0.983632087961902,FALSE
"161","PEX14",-9.37561758950273e-05,0.983632087961902,FALSE
"162","DFFA",-0.000421866464337826,0.926450045918714,FALSE
"163","CASZ1",-0.000476589308578601,0.916941990312704,FALSE
"164","C1orf127",0.00131359023105469,0.773777207805373,FALSE
"165","TARDBP",-9.37561758950273e-05,0.983632087961902,FALSE
"166","MASP2",0.00112417170812364,0.805690412583005,FALSE
"167","SRM",-9.37561758950273e-05,0.983632087961902,FALSE
"168","EXOSC10-AS1",-9.37561758950273e-05,0.983632087961902,FALSE
"169","EXOSC10",-9.37561758950273e-05,0.983632087961902,FALSE
"170","ANGPTL7",0.000884887001596676,0.846465965687674,FALSE
"171","MTOR",-9.37561758950273e-05,0.983632087961902,FALSE
"172","UBIAD1",-0.00062609149592666,0.891030536374514,FALSE
"173","DISP3",-0.00260757773123597,0.56828035363376,FALSE
"174","LINC01647",0.000135099928170239,0.976416094505208,FALSE
"175","FBXO44",0.00676370903498124,0.138866879551131,FALSE
"176","FBXO2",-9.37561758950273e-05,0.983632087961902,FALSE
"177","FBXO6",-0.000270283216378169,0.952838260690425,FALSE
"178","MAD2L2",-0.00210268753149171,0.64543964893592,FALSE
"179","DRAXIN",-9.37561758950273e-05,0.983632087961902,FALSE
"180","AGTRAP",0.00329301911069628,0.47117220336889,FALSE
"181","C1orf167",0.014827540269631,0.00117641174230347,FALSE
"182","LOC102724659",0.00237477060419865,0.603312102387957,FALSE
"183","CLCN6",0.000993165098860637,0.827956806405309,FALSE
"184","MTHFR",0.000243405195554453,0.95752353068251,FALSE
"185","NPPA-AS1",0.00132639286391533,0.771633295863839,FALSE
"186","NPPA",0.00100940585367221,0.825188553442883,FALSE
"187","NPPB",0.00103425810743261,0.820956678201288,FALSE
"188","RNU5E-1",-9.37561758950273e-05,0.983632087961902,FALSE
"189","KIAA2013",-0.00142457034924615,0.75525167230613,FALSE
"190","PLOD1",-0.00300661970615084,0.510600041511394,FALSE
