"","Gene","U_l1","adP.value","Selection"
"1","FAM87B",8.27073422756778e-05,0.973031150001961,FALSE
"2","LINC01128",8.27073422754539e-05,0.973031150002034,FALSE
"3","LINC00115",8.27073422755621e-05,0.973031150001999,FALSE
"4","FAM41C",8.27073422754989e-05,0.97303115000202,FALSE
"5","LINC02593",8.27073422754827e-05,0.973031150002025,FALSE
"6","SAMD11",-0.000314034462295292,0.897862067845256,FALSE
"7","NOC2L",8.27073422755715e-05,0.973031150001996,FALSE
"8","KLHL17",-0.00272895148627593,0.264650232011536,FALSE
"9","PLEKHN1",0.000605811586246577,0.80442275370573,FALSE
"10","PERM1",8.27073422755368e-05,0.973031150002008,FALSE
"11","HES4",8.27073422755634e-05,0.973031150001999,FALSE
"12","ISG15",8.27073422755185e-05,0.973031150002013,FALSE
"13","AGRN",-0.00249468816635728,0.307865338816156,FALSE
"14","RNF223",8.27073422754104e-05,0.973031150002049,FALSE
"15","C1orf159",0.00131295196282413,0.591493414652874,FALSE
"16","LINC01342",8.27073422755433e-05,0.973031150002005,FALSE
"17","MIR200B",8.2707342275545e-05,0.973031150002005,FALSE
"18","MIR429",8.2707342275555e-05,0.973031150002001,FALSE
"19","TTLL10",8.2707342275578e-05,0.973031150001994,FALSE
"20","TNFRSF18",9.55561570898958e-05,0.968843451349332,FALSE
"21","TNFRSF4",8.27073422755643e-05,0.973031150001999,FALSE
"22","SDF4",8.27073422755498e-05,0.973031150002003,FALSE
"23","B3GALT6",8.27073422755523e-05,0.973031150002002,FALSE
"24","C1QTNF12",-0.000130824772428427,0.95735342811287,FALSE
"25","UBE2J2",8.27073422755617e-05,0.973031150001999,FALSE
"26","SCNN1D",8.27073422755573e-05,0.973031150002001,FALSE
"27","MIR6726",0.00028832204080965,0.9061845165087,FALSE
"28","PUSL1",-0.000873699291835206,0.720996536081013,FALSE
"29","ACAP3",8.27073422755533e-05,0.973031150002002,FALSE
"30","MIR6727",8.27073422755533e-05,0.973031150002002,FALSE
"31","INTS11",8.27073422755533e-05,0.973031150002002,FALSE
"32","CPTP",8.27073422755533e-05,0.973031150002002,FALSE
"33","TAS1R3",-0.000359562445072082,0.883153922936446,FALSE
"34","MIR6808",-0.0024791665284535,0.310884936911285,FALSE
"35","DVL1",0.00093915874816493,0.701064414101802,FALSE
"36","MXRA8",-0.00214023828243031,0.381666980024186,FALSE
"37","AURKAIP1",8.27073422755533e-05,0.973031150002002,FALSE
"38","CCNL2",8.27073422755533e-05,0.973031150002002,FALSE
"39","MRPL20-AS1",8.27073422755533e-05,0.973031150002002,FALSE
"40","MRPL20",8.27073422755533e-05,0.973031150002002,FALSE
"41","ANKRD65",8.27073422755533e-05,0.973031150002002,FALSE
"42","TMEM88B",8.27073422755533e-05,0.973031150002002,FALSE
"43","LINC01770",8.27073422755533e-05,0.973031150002002,FALSE
"44","VWA1",-0.000541238926993565,0.824910961335265,FALSE
"45","ATAD3B",8.27073422755533e-05,0.973031150002002,FALSE
"46","ATAD3A",8.27073422755533e-05,0.973031150002002,FALSE
"47","TMEM240",-5.37580564178322e-05,0.982468878787829,FALSE
"48","SSU72",-0.000480315739657087,0.844351466800502,FALSE
"49","FNDC10",0.00132468074793155,0.588185520966993,FALSE
