"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1734","TP53BP2",-9.74823330296063,6.94123123797145e-10,1.67806466837234e-09,"-"
"1735","NAT8L",9.64658678407442,7.05192501689326e-10,1.70384263232372e-09,"+"
"1736","UMPS",9.22441381751281,7.22026610068542e-10,1.74351126117934e-09,"+"
"1737","MMP14",9.7847561959915,7.25619777158156e-10,1.75117910526597e-09,"+"
"1738","LINC00601",-9.47173386844424,7.31405653580983e-10,1.76412686985701e-09,"-"
"1739","LOC100129917",9.52166333416228,7.31831757437809e-10,1.76413957859649e-09,"+"
"1740","PDZRN3",-9.42953172663911,7.96916855104817e-10,1.91992842333298e-09,"-"
"1741","CORO6",9.69263526684666,8.19540058479714e-10,1.97329806154334e-09,"+"
"1742","RBFOX3",-9.53982820107512,8.46539805722583e-10,2.03713826956893e-09,"-"
"1743","ENPP6",-9.56544455102327,8.70378298654442e-10,2.09330225356249e-09,"-"
"1744","HIVEP1",9.49028476003396,9.0841786606039e-10,2.18353652209011e-09,"+"
"1745","DSEL",-9.25744105140161,9.200452679239e-10,2.21021762930486e-09,"-"
"1746","RSPH3",9.89509397619202,9.26514120102003e-10,2.22448292753012e-09,"+"
"1747","CRNN",-9.25744782347661,1.04953234185549e-09,2.51839701033671e-09,"-"
"1748","SHF",-9.97251491050885,1.05047138300473e-09,2.51920825947129e-09,"-"
"1749","LINC01012",9.6911053372314,1.06676120052738e-09,2.55681129365967e-09,"+"
"1750","LINC00511",-9.99520736670444,1.10355567362908e-09,2.64348879077319e-09,"-"
"1751","MIR6888",-9.25737220460506,1.10541285860721e-09,2.6464253017027e-09,"-"
"1752","CALD1",10.0904487197753,1.22295037141892e-09,2.92614609417129e-09,"+"
"1753","LCORL",-9.50740117330065,1.31144871501086e-09,3.13610554097292e-09,"-"
"1754","SPATA13",9.46834856265465,1.36363058931862e-09,3.25903046204314e-09,"+"
"1755","CRYGN",-9.8024261165301,1.37271426061395e-09,3.27887075811605e-09,"-"
"1756","FSCB",-8.89421580530985,1.39645914439818e-09,3.33368834471365e-09,"-"
"1757","HTRA1",9.68220552806384,1.50714127366336e-09,3.59586580489288e-09,"+"
"1758","UBAC2",-9.49018234634784,1.52055158114517e-09,3.62579762694002e-09,"-"
"1759","C7orf66",-9.23745530229301,1.70135979090369e-09,4.05463345279607e-09,"-"
"1760","SLC35A2",-9.20904224144733,1.70950201493116e-09,4.07172298101786e-09,"-"
"1761","MMP16",9.02111681749751,1.74314343064785e-09,4.14949305012822e-09,"+"
"1762","FBXO21",9.2946062172636,1.79158769408889e-09,4.26239251624327e-09,"+"
"1763","TMEM115",9.50320953118521,1.91731813385273e-09,4.55893228423746e-09,"+"
"1764","LOC100126784",-9.25741272331654,1.93391567918885e-09,4.59579054827645e-09,"-"
"1765","UPP2",-9.2127882315832,1.97755311796129e-09,4.69587751632689e-09,"-"
"1766","R3HDM4",9.78449317153304,1.9782728277274e-09,4.69587751632689e-09,"+"
"1767","MIR7160",-9.96258188262083,2.11902017062101e-09,5.02712651683264e-09,"-"
"1768","DCBLD2",-8.89401445452254,2.30434302171192e-09,5.46369114650248e-09,"-"
"1769","CHD7",-9.49013785147065,2.43171587584891e-09,5.76243807323834e-09,"-"
"1770","FNIP2",-9.53443851775979,2.4595378118559e-09,5.82507486288131e-09,"-"
"1771","HERC1",-9.40954941092455,2.48103039849554e-09,5.87265919282514e-09,"-"
"1772","BCAR1",-9.18715499183673,2.48534729775892e-09,5.8795574899579e-09,"-"
"1773","TCFL5",-9.53063509606861,2.54681293172064e-09,6.02156785661192e-09,"-"
"1774","FOXD2",9.52134448625062,2.5624584957614e-09,6.05514431467406e-09,"+"
"1775","LOC105377924",-9.4899244859898,2.80662768376575e-09,6.62838492977241e-09,"-"
"1776","DNAJC5B",-9.50794541444815,2.98571007412675e-09,7.04735170649739e-09,"-"
"1777","TMOD2",-9.67161527769264,3.02950740815238e-09,7.14670515192727e-09,"-"
"1778","ACSF3",9.20252559706838,3.06696604905864e-09,7.23100206842171e-09,"+"
"1779","ATOH1",-9.09700804203669,3.38749654869593e-09,7.98222907933297e-09,"-"
"1780","RABAC1",-9.73346457832581,3.46721166872338e-09,8.16547826701597e-09,"-"
"1781","IPO11-LRRC70",-8.8940060068255,3.5455108285621e-09,8.34518887890641e-09,"-"
"1782","JPH3",8.88221200312054,3.79209278373812e-09,8.92056843402368e-09,"+"
"1783","LRFN3",9.22459392211014,3.88191325012115e-09,9.12674164021754e-09,"+"
"1784","IL2",-9.09699326857835,3.89480419533283e-09,9.15191658454888e-09,"-"
"1785","ATG10",-9.18708912096203,3.94328745916665e-09,9.26065043631743e-09,"-"
"1786","PRR36",-9.33917184328635,4.40545694811844e-09,1.03402438558301e-08,"-"
"1787","LRBA",-9.09697957390289,4.67402411901573e-09,1.09644706809815e-08,"-"
"1788","TNPO2",9.16468198805888,4.72723898831713e-09,1.10831016996786e-08,"+"
"1789","LINC01599",-9.97243107316423,4.83473662018382e-09,1.13287959261099e-08,"-"
"1790","YWHAQ",-9.25743731087098,4.84195378867945e-09,1.13393688727063e-08,"-"
"1791","LOC100129055",-9.1870854422449,5.0003974458121e-09,1.17038894990755e-08,"-"
"1792","BCL9",-9.51616100845653,5.03484282370425e-09,1.17779358911653e-08,"-"
"1793","CACNA1E",-8.89399176824028,5.26132733569713e-09,1.23008835422434e-08,"-"
"1794","SESN2",-9.3380437282422,5.68037221743985e-09,1.32731997410858e-08,"-"
"1795","GAK",-8.90571439607048,5.75477587267439e-09,1.34395657149031e-08,"-"
"1796","LINC01310",8.97609302075497,5.804235201149e-09,1.35475244784057e-08,"+"
"1797","DDC",-9.07591463103691,6.23879873371879e-09,1.4553725259738e-08,"-"
"1798","LINC02408",-8.96595248689354,6.28489059030418e-09,1.4653093078173e-08,"-"
"1799","SATB1-AS1",-8.89397345086352,6.71053776658519e-09,1.56367839452613e-08,"-"
"1800","MAP7",8.85902511845496,6.94787609801205e-09,1.61808314460369e-08,"+"
"1801","MIR4639",-8.96591397365951,7.09777391255927e-09,1.65207486071341e-08,"-"
"1802","OSTF1",-8.81944856863986,7.15023504350127e-09,1.66336211444824e-08,"-"
"1803","ZNF681",-9.18692200673857,7.52866492669461e-09,1.7504250345371e-08,"-"
"1804","GTSF1L",-9.09694554213006,7.67370060284526e-09,1.7831570358718e-08,"-"
"1805","DENND2D",-9.18728890755544,7.72497705508988e-09,1.79407777368071e-08,"-"
"1806","LOC145783",8.8592689437045,7.76257854077394e-09,1.80181225043878e-08,"+"
"1807","MIR5011",-8.81939746183556,8.47862956982029e-09,1.96692944973363e-08,"-"
