"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","CIITA",-14.5853650273067,2.28605959555769e-32,3.80788946832045e-28,"-"
"2","SLC9A8",-15.4736264800427,6.2524103018288e-31,5.20731991987812e-27,"-"
"3","MIR619",-15.1608254079395,3.83251896549288e-30,1.59595671020537e-26,"-"
"4","PDYN-AS1",-15.1081422001383,3.58327465357691e-30,1.59595671020537e-26,"-"
"5","IL37",-14.8034941653567,4.95080884356632e-30,1.64931245814568e-26,"-"
"6","ARL6IP6",-15.0852383544709,8.36089873809456e-30,2.32112483800735e-26,"-"
"7","ENG",-15.7263476707024,2.62148118912384e-29,6.23800173817653e-26,"-"
"8","LACTB",15.5438565031178,7.46116643266392e-29,1.38089610298759e-25,"+"
"9","RHBDF2",14.3946485325126,6.78402291454697e-29,1.38089610298759e-25,"+"
"10","DHRS3",-15.3461378078423,1.07762501627557e-28,1.79499998961021e-25,"-"
"11","MIR7846",-15.2806196487429,3.81191167266405e-28,5.54066870510789e-25,"-"
"12","HCK",-15.304838566992,3.99159659370203e-28,5.54066870510789e-25,"-"
"13","ZNRF2",-14.9924799945357,1.48052309510311e-27,1.8970056303948e-24,"-"
"14","SRP14-AS1",-13.6829094050321,2.14496600434818e-27,2.55204990960197e-24,"-"
"15","PRRC2C",-14.7833591705743,8.11349774754131e-27,9.00976879871971e-24,"-"
"16","P2RX4",-14.6730238864253,9.02743462451963e-27,9.39812365878897e-24,"-"
"17","TMEM50A",14.1963130982314,1.52184691086418e-26,1.4083002219036e-23,"+"
"18","MEX3B",14.4557690206532,1.44543250378725e-26,1.4083002219036e-23,"+"
"19","C10orf71",-14.6094084204634,1.78080390109171e-26,1.56120266213077e-23,"-"
"20","CSNK1D",14.3176243585014,2.42688313838604e-26,2.02122962180481e-23,"+"
"21","MIR4660",-15.3573404434294,2.6809629682964e-26,2.12651429347205e-23,"-"
"22","LEKR1",-14.3302411664021,3.35557295290647e-26,2.43016429028535e-23,"-"
"23","TPD52L2",-15.2688517123148,3.2705486975176e-26,2.43016429028535e-23,"-"
"24","GPX1",-14.2305759316501,3.63862904401304e-26,2.52536016608855e-23,"-"
"25","YWHAZ",-15.1188024803957,5.85380403194946e-26,3.90027255040728e-23,"-"
"26","AGO1",-14.3271199316671,6.87158354543903e-26,4.402306427553e-23,"-"
"27","SNX20",-15.0572500048598,1.13858141046505e-25,7.02420390893195e-23,"-"
"28","VSIR",-14.0303234446157,1.21241245594629e-25,7.21255509953475e-23,"-"
"29","ZNF888",-14.1911053824624,1.3230901922032e-25,7.5995563212168e-23,"-"
"30","C9",-12.6975470601123,1.64647026803054e-25,9.14175175152821e-23,"-"
"31","LINC00908",-12.7889898088188,2.09080497261003e-25,1.12343672350856e-22,"-"
"32","DGUOK-AS1",-14.0642675318104,2.2911771813381e-25,1.1926293221734e-22,"-"
"33","UCP3",-14.0439352806384,2.39992586803682e-25,1.19584930930048e-22,"-"
"34","CCDC57",-14.9507209918903,2.44094834101077e-25,1.19584930930048e-22,"-"
"35","LINC02056",-13.9560438896072,3.02279116719334e-25,1.43858949919827e-22,"-"
"36","BZW2",-12.7921459262456,3.18870454373204e-25,1.47539587735957e-22,"-"
"37","MAFF",-14.8156265227011,3.91238300952957e-25,1.76131253485768e-22,"-"
"38","DNAH1",-14.8087403378018,4.88239161117839e-25,2.14015781756312e-22,"-"
"39","TOLLIP-AS1",13.737521692809,5.52741955553941e-25,2.36077506504154e-22,"+"
"40","MRPS10",-14.6066069396011,6.7002158611676e-25,2.79013738998672e-22,"-"
"41","PREP",-12.4731562892384,7.35520106202475e-25,2.94837164153981e-22,"-"
"42","DAPK2",13.4466163040418,7.43420837753929e-25,2.94837164153981e-22,"+"
"43","UACA",-14.15324748152,7.79739464976238e-25,3.02049308560679e-22,"-"
"44","FAM71F1",13.4058230663934,1.109822726371e-24,4.20143571662766e-22,"+"
"45","RHOH",-13.6538821134694,1.32306754491943e-24,4.89740802127178e-22,"-"
"46","THBS3",-14.4659540895303,1.5852516054168e-24,5.74033391117993e-22,"-"
"47","S100A2",-14.3910377184722,2.91175550778964e-24,1.01043982277609e-21,"-"
"48","ACOD1",-13.4144518455007,2.8904334442004e-24,1.01043982277609e-21,"-"
"49","PRR16",-12.8371826593249,3.52712118518067e-24,1.17502515163109e-21,"-"
"50","LOC388780",-14.376523859639,3.49623422892037e-24,1.17502515163109e-21,"-"
"51","ARNTL2",-13.500291647924,3.61183922999507e-24,1.17595629967148e-21,"-"
"52","LINC00543",13.1562051377246,3.67111290045729e-24,1.17595629967148e-21,"+"
"53","LINC00243",-13.3835074467288,3.90096042800092e-24,1.20461624604097e-21,"-"
"54","LOC102724153",14.2083933503445,3.90522166573886e-24,1.20461624604097e-21,"+"
"55","SNX27",-13.2708829535861,4.22586904392672e-24,1.25696965472656e-21,"-"
"56","NCR3LG1",-14.3322099341071,4.19165799735385e-24,1.25696965472656e-21,"-"
"57","ZNF251",14.2102279027497,4.64931467026913e-24,1.3586602537311e-21,"+"
"58","CDKN1A",-12.1638117586395,4.74567657656143e-24,1.36290921958248e-21,"-"
"59","MAGI3",-13.3001586604864,5.00947795344035e-24,1.414286004584e-21,"-"
"60","ALOX15B",-13.4500126225449,5.43615237919792e-24,1.509166503005e-21,"-"
"61","TFPI",-13.3399052779697,5.64140940946333e-24,1.54047469726936e-21,"-"
"62","MLPH",13.9452126687241,6.89726110081714e-24,1.85302706703728e-21,"+"
"63","JRK",-14.1452899658004,7.5038830692094e-24,1.98400286164795e-21,"-"
"64","METTL6",-14.1397935614,7.78439087440123e-24,2.02600935617033e-21,"-"
"65","MIR3155A",-13.1970956818703,7.97668915686465e-24,2.04411863516761e-21,"-"
"66","SH3D21",-14.2026445117369,9.01457199821779e-24,2.27508675415627e-21,"-"
"67","GMPR",-12.9512220782787,1.43268718182126e-23,3.56183140113385e-21,"-"
"68","LEO1",13.878344230119,1.5423753943689e-23,3.77813925647101e-21,"+"
"69","MIR34A",13.8775639450483,1.73813932820072e-23,4.13602668426278e-21,"+"
"70","CDK19",-12.9429245476062,1.73527155008228e-23,4.13602668426278e-21,"-"
"71","THEMIS2",-14.2055752796538,1.88061310289523e-23,4.36351442597039e-21,"-"
"72","TATDN1",-13.9786400887431,1.88613218868865e-23,4.36351442597039e-21,"-"
"73","SH2D6",-12.8698952031399,2.04287092693914e-23,4.66138370274318e-21,"-"
"74","ATXN7",-12.9260737176733,2.16279754148191e-23,4.86834035790056e-21,"-"
"75","E2F2",13.7221564713621,2.72870118865887e-23,5.98052311835406e-21,"+"
"76","DCTN4",-13.8721869344879,2.71698742316693e-23,5.98052311835406e-21,"-"
"77","KIAA0754",13.7530195666137,2.98842565893937e-23,6.30103875961432e-21,"+"
"78","IL19",13.7433179822788,2.94011453861382e-23,6.30103875961432e-21,"+"
"79","THBD",-13.8670497275697,2.96442733086906e-23,6.30103875961432e-21,"-"
"80","INSR",-12.9241105165626,3.04543171220215e-23,6.3409695037689e-21,"-"
"81","C3AR1",-12.810910189385,3.53904801950438e-23,7.27776825443019e-21,"-"
"82","MACF1",-13.7395617136706,3.89529920903605e-23,7.91268279572117e-21,"-"
"83","MAD1L1",13.6736039248924,3.97192613557011e-23,7.97112935423992e-21,"+"
"84","HMGB3",-12.8205601411436,4.34780762250476e-23,8.62159899619784e-21,"-"
"85","MXD1",-13.6570852925036,5.09748153532227e-23,9.88181508203414e-21,"-"
"86","SSTR2",-12.8209659201367,5.16130102741772e-23,9.88181508203414e-21,"-"
"87","INSM1",-14.6905441883772,5.15411516121823e-23,9.88181508203414e-21,"-"
"88","CAT",-12.9263110092767,5.61580268740251e-23,1.06298210640981e-20,"-"
"89","GTSF1",13.5023879397483,5.74885408492776e-23,1.07594002800721e-20,"+"
"90","PLD6",-13.6906352349835,6.18947114159914e-23,1.14553356450685e-20,"-"
