"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"73","LCP2",-11.0506932023197,4.74492750789813e-18,7.36553814638186e-16,"-"
"74","SNTB2",-11.0404256215398,4.6940593769232e-18,7.36553814638186e-16,"-"
"75","LINCR-0001",-11.0426787949759,5.20719656787026e-18,7.9753422633501e-16,"-"
"76","DUSP2",-12.1504889080492,5.50230321219597e-18,8.31644171032831e-16,"-"
"77","CLEC2D",-10.9790611602451,6.16475836194232e-18,9.19669861086122e-16,"-"
"78","LINC02539",-14.018845819827,7.07735298834445e-18,1.02817701315718e-15,"-"
"79","LSM8",-10.9224959434785,7.1041470849803e-18,1.02817701315718e-15,"-"
"80","ADGRG1",-11.2224484504358,7.16063036933705e-18,1.02817701315718e-15,"-"
"81","ZCCHC24",10.9302228334474,7.33807877182748e-18,1.04064828212324e-15,"+"
"82","ATP10A",-10.9299134349727,8.28323087805119e-18,1.16035942800212e-15,"-"
"83","SIX2",10.8777435179491,9.27325561559532e-18,1.28339623200414e-15,"+"
"84","SPATA3-AS1",-10.8765243821771,1.01236343635663e-17,1.38440699921769e-15,"-"
"85","MALAT1",-10.7945966933133,1.15066522719433e-17,1.55502252526839e-15,"-"
"86","GNAZ",10.791585978638,1.21091283870092e-17,1.61741346257645e-15,"+"
"87","TRAF1",-11.1309980068719,1.31308881644901e-17,1.73373002695975e-15,"-"
"88","RSL24D1",-13.5743730024554,1.37536533690667e-17,1.79532063920988e-15,"-"
"89","MIR4269",-10.7892105481626,1.45033676453998e-17,1.87191218137874e-15,"-"
"90","SLC2A12",10.7265450084892,1.6119716341745e-17,2.05741312908472e-15,"+"
"91","ACTRT1",10.6998594318795,1.76977137301499e-17,2.23399601778277e-15,"+"
"92","FNDC3A",-11.5566978237267,1.79551038945263e-17,2.24185085256982e-15,"-"
"93","KIAA1324L",-10.7154748033258,1.9601396839059e-17,2.42108866118571e-15,"-"
"94","ASPG",10.6572674515453,2.07913520904036e-17,2.54074746236666e-15,"+"
"95","NPAS4",12.1284659513184,2.15678094432218e-17,2.60788870604514e-15,"+"
"96","TMEM131L",-10.687247424861,2.30715300053986e-17,2.73219242445375e-15,"-"
"97","KDM2B",-12.6540963509924,2.29820795075596e-17,2.73219242445375e-15,"-"
"98","EZH2",-10.6814656479733,2.3398094467929e-17,2.74259093013368e-15,"-"
"99","RPL36",-10.6453249031276,2.50004657394115e-17,2.90081161564262e-15,"-"
"100","RGPD3",-10.5676618712387,3.38027032052079e-17,3.87880596117291e-15,"-"
"101","TTC39B",-10.5244541841095,3.41045879758391e-17,3.87880596117291e-15,"-"
"102","MIR6805",-10.5110672193471,3.44625700261783e-17,3.88109354794814e-15,"-"
"103","PPP1R2",-10.5289936103388,3.49708533149738e-17,3.90009895173887e-15,"-"
"104","LOC101928565",-11.6109512072243,3.67040843676691e-17,3.94037212272351e-15,"-"
"105","SREK1",-10.5441439762445,3.64129635809754e-17,3.94037212272351e-15,"-"
"106","ZNF33B",-10.5316935809528,3.62647643057886e-17,3.94037212272351e-15,"-"
"107","MRPL17",-10.5194139669055,3.59724281609918e-17,3.94037212272351e-15,"-"
"108","RFNG",-10.5335645950253,3.8120208433586e-17,4.05450772478335e-15,"-"
"109","VWC2",-10.4720023120726,4.7009866406785e-17,4.95414986619027e-15,"-"
"110","SPTLC2",-10.4515373598678,5.13679991734178e-17,5.36422005913682e-15,"-"
"111","HHAT",-10.6607238435436,5.66821038084366e-17,5.83034624016271e-15,"-"
"112","PMEPA1",-10.4240110631989,5.6846764072275e-17,5.83034624016271e-15,"-"
"113","SLC35F3",-10.4206112250323,6.08350517924769e-17,5.90276792942345e-15,"-"
"114","LINC01793",-10.4206112250323,6.08350517924769e-17,5.90276792942345e-15,"-"
"115","LSAMP",-10.387019895479,6.1400125228325e-17,5.90276792942345e-15,"-"
"116","ARHGAP26-AS1",-12.9508421540877,5.82319428924949e-17,5.90276792942345e-15,"-"
"117","EFCAB10",-11.4604807438415,6.32054022215622e-17,5.90276792942345e-15,"-"
"118","EHMT1",-10.387019895479,6.1400125228325e-17,5.90276792942345e-15,"-"
"119","GJD4",-10.4090569079119,6.2267612653284e-17,5.90276792942345e-15,"-"
"120","ABHD13",-10.3566271078981,6.26156472445649e-17,5.90276792942345e-15,"-"
"121","SLC10A1",-10.3919908621641,6.09244645963313e-17,5.90276792942345e-15,"-"
"122","KCTD15",-10.3669647347663,6.08374363371027e-17,5.90276792942345e-15,"-"
"123","EPN1",-10.3689543147814,6.29636045016759e-17,5.90276792942345e-15,"-"
"124","ITGB4",-10.3658287016677,6.7159724806748e-17,6.22148192625092e-15,"-"
"125","NCAPH",-13.3220057643183,6.95551362002574e-17,6.39183879625886e-15,"-"
"126","CPLANE1",-10.3631228960486,7.10060808600834e-17,6.47338770507761e-15,"-"
"127","APH1B",-10.3652709418005,7.38575926968931e-17,6.68033202605678e-15,"-"
"128","TINAG",-10.4031408300216,7.56183875761889e-17,6.73355362858668e-15,"-"
"129","SART1",-10.351975753736,7.55823526617677e-17,6.73355362858668e-15,"-"
"130","LEF1",-10.2917131165826,8.83632455172091e-17,7.80791231735524e-15,"-"
"131","LRRIQ3",-10.3077350145897,9.01399023958721e-17,7.84422014258623e-15,"-"
"132","NAPA-AS1",-10.3297576143588,8.97035201006179e-17,7.84422014258623e-15,"-"
"133","GNG2",-12.6975770249982,9.46826093499523e-17,8.17758747069851e-15,"-"
"134","C1QTNF12",10.2434460650301,9.75005729922571e-17,8.35812747732879e-15,"+"
"135","CSTF2T",-10.2355838255556,1.15324345108316e-16,9.81282038710539e-15,"-"
"136","NINJ2",-13.7654891146123,1.17316131934989e-16,9.83657231778988e-15,"-"
"137","CELSR1",-10.2060552862305,1.16633436973033e-16,9.83657231778988e-15,"-"
"138","ZBTB21",11.3385494458847,1.19044596560224e-16,9.90916870063259e-15,"+"
"139","ASXL2",-10.2804915985005,1.22992338300235e-16,1.00915213575342e-14,"-"
"140","GRM3",-10.2197542981036,1.22555559533272e-16,1.00915213575342e-14,"-"
"141","MAP9",-10.1842391901007,1.25832503408358e-16,1.02513330968213e-14,"-"
"142","PODN",-10.2035054279177,1.29737765686136e-16,1.0428033909574e-14,"-"
"143","AKAP11",-12.9423955919515,1.29817084449298e-16,1.0428033909574e-14,"-"
"144","PDE1A",-10.1668354057648,1.42156735433904e-16,1.13399612495087e-14,"-"
"145","STK17A",-12.22163807867,1.54241783143486e-16,1.22191404342705e-14,"-"
