"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"73","CTBP1-DT",11.084479343811,9.63645161131772e-12,6.3745787439799e-10,"+"
"74","LOC101928441",-11.0160971764298,1.00099211872171e-11,6.53214992068533e-10,"-"
"75","FASN",13.1906296500098,1.11376135962772e-11,7.17113814085635e-10,"+"
"76","KLHL15",-13.1709095619166,1.1335541498914e-11,7.20254340766521e-10,"-"
"77","CCDC57",12.9046917406436,1.16530642195795e-11,7.30813598913629e-10,"+"
"78","CCL4L1",-12.8460383889149,1.22225618800067e-11,7.43078054525314e-10,"-"
"79","TOMM40",-12.8585824041904,1.20568143447185e-11,7.43078054525314e-10,"-"
"80","MRGBP",12.9426053343585,1.23102597560624e-11,7.43078054525314e-10,"+"
"81","MAPK8IP1",10.8841891265984,1.41978010335355e-11,8.46434335690652e-10,"+"
"82","UBE2Z",12.9868399750285,1.51020699302615e-11,8.78649345701602e-10,"+"
"83","NXT1",-12.9841696906525,1.5090477852503e-11,8.78649345701602e-10,"-"
"84","GTF3A",12.9747171646879,1.585698940792e-11,9.11588117271975e-10,"+"
"85","INCENP",12.7846872241648,1.69112107505398e-11,9.49584147841357e-10,"+"
"86","MAPK1IP1L",12.9808086165699,1.6816402413541e-11,9.49584147841357e-10,"+"
"87","TMEM114",12.933016377377,1.74713583902537e-11,9.69760800764772e-10,"+"
"88","ZNF664",-12.8524084589128,1.821642317377e-11,9.99626221660626e-10,"-"
"89","GLE1",12.8584693545316,1.95115451267709e-11,1.05783158301747e-09,"+"
"90","DGCR2",14.7944143625951,1.97152293376625e-11,1.05783158301747e-09,"+"
"91","PQLC2",11.0724242791778,2.02363556538271e-11,1.06072527385866e-09,"+"
"92","GAREM2",12.8907786518379,2.04281322155425e-11,1.06072527385866e-09,"+"
"93","WDR25",-14.8425416020742,2.00808640621404e-11,1.06072527385866e-09,"-"
"94","DYSF",12.5138958734407,2.22167085422424e-11,1.1413243143669e-09,"+"
"95","SP140L",-12.6612642825074,2.29204526753469e-11,1.16508279967632e-09,"-"
"96","ZDHHC17",-12.7041904775117,2.43015394927383e-11,1.22241806469201e-09,"-"
"97","AMPD2",12.5482497184654,2.54461726786464e-11,1.26679966871323e-09,"+"
"98","LOC101929709",14.8826292690934,2.66007543388746e-11,1.30829555697725e-09,"+"
"99","TBC1D24",12.579404156384,2.68215490040895e-11,1.30829555697725e-09,"+"
"100","NYX",14.8499246229636,2.8576149479652e-11,1.37994225837239e-09,"+"
"101","STAMBP",12.480205345479,2.95640857223801e-11,1.4135145539938e-09,"+"
"102","GPAA1",12.6813559433728,3.07242397418703e-11,1.44045974479118e-09,"+"
"103","MT1E",12.4859473059228,3.06383817452185e-11,1.44045974479118e-09,"+"
"104","KCNN4",12.4882940815943,3.18942618285305e-11,1.47060988202012e-09,"+"
"105","DNMT3L",-12.5300459756206,3.19764004166728e-11,1.47060988202012e-09,"-"
"106","MIR26B",-12.4866911278437,3.54674286995509e-11,1.60067488962739e-09,"-"
"107","GSDMC",-12.5123091948642,3.54656433297136e-11,1.60067488962739e-09,"-"
"108","AMBRA1",12.4695351036046,3.70788084640121e-11,1.64269326672215e-09,"+"
"109","VSIG10L",12.4695351036046,3.70788084640121e-11,1.64269326672215e-09,"+"
"110","SPTBN4",12.5092715050708,3.76296983775142e-11,1.65194375877287e-09,"+"
"111","LINC01934",12.4203529469872,3.86551721949108e-11,1.66076217989693e-09,"+"
"112","SLC15A2",12.6149228203539,3.84705302828973e-11,1.66076217989693e-09,"+"
"113","LTB4R",-12.5698740575396,3.88623164896155e-11,1.66076217989693e-09,"-"
"114","ICAM2",-12.375670605816,3.97057754942004e-11,1.68192271808328e-09,"-"
"115","PER1",-15.863634488895,4.04603311796092e-11,1.69898208057681e-09,"-"
"116","PLEKHB2",12.4830161470328,4.18138424406146e-11,1.72580380466434e-09,"+"
"117","EPS8L1",12.6639784817822,4.16638695279371e-11,1.72580380466434e-09,"+"
"118","EIF4EBP3",-12.3566186808102,4.28944695754584e-11,1.74065036621755e-09,"-"
"119","GNPTAB",-12.3566186808102,4.28944695754584e-11,1.74065036621755e-09,"-"
"120","BMP10",-13.3870259502754,4.44286685285943e-11,1.78788366937151e-09,"-"
"121","LOXL3",-12.2225423030394,4.6036081532205e-11,1.82219866982802e-09,"-"
"122","CEP192",-12.2302874515131,4.59154667696544e-11,1.82219866982802e-09,"-"
"123","VAT1",-12.2991507974476,4.76393195687483e-11,1.87032743249988e-09,"-"
"124","GOLGA7",-12.2248317705345,4.80931714823568e-11,1.8729187507121e-09,"-"
"125","PURB",12.4770298191235,5.06909740465024e-11,1.93550458104994e-09,"+"
