"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"73","FLJ45513",-11.3007869125142,3.62343198789655e-13,1.14462660558462e-11,"-"
"74","BANF1",-12.7925284340584,3.85322017526339e-13,1.18877049461166e-11,"-"
"75","MIR5192",-12.6830901470518,3.95776332922812e-13,1.20474315741704e-11,"-"
"76","GPD2",-12.8163657122175,4.09946126766677e-13,1.23145658869516e-11,"-"
"77","RNF38",-12.6672316869288,4.24695739373507e-13,1.2442103964061e-11,"-"
"78","CNOT1",-12.7924462566662,4.25091594041507e-13,1.2442103964061e-11,"-"
"79","HBS1L",12.6284329844031,4.43147155610687e-13,1.28063918513823e-11,"+"
"80","CYTH4",-12.706106500627,4.7909432371248e-13,1.36721542629449e-11,"-"
"81","DDX24",-12.7574143597935,5.21692714824368e-13,1.47040057770868e-11,"-"
"82","BRINP3",-11.1848253696793,5.39326870589455e-13,1.50156493360454e-11,"-"
"83","MIR1202",12.6056582288859,5.73576378851126e-13,1.56848332370373e-11,"+"
"84","TWIST1",11.1169543487112,5.83973204182293e-13,1.56848332370373e-11,"+"
"85","LMNTD1",-12.571710250225,5.78091256935412e-13,1.56848332370373e-11,"-"
"86","PTPN22",-12.5064743736999,6.12070978909999e-13,1.61243280889088e-11,"-"
"87","LY6E-DT",-12.6500589646339,6.14461911403884e-13,1.61243280889088e-11,"-"
"88","MIR3132",12.6263457009765,6.41772917955359e-13,1.6649631496501e-11,"+"
"89","KMT2C",-12.6381993103307,6.55888744247917e-13,1.68246517204269e-11,"-"
"90","KBTBD2",12.5386245695534,6.87756739346057e-13,1.7446095954745e-11,"+"
"91","KLRG1",12.5912518133069,7.49063256210264e-13,1.87518899601483e-11,"+"
"92","DDX3X",14.482228037236,7.55660918236377e-13,1.87518899601483e-11,"+"
"93","DAG1",-12.42773006349,7.74694030638001e-13,1.90174889456619e-11,"-"
"94","P2RX5",-12.4533496327381,8.07254689971402e-13,1.96059835872841e-11,"-"
"95","HS1BP3",12.350408967028,9.0423801924091e-13,2.17034634762955e-11,"+"
"96","TET3",-14.7969835426442,9.22135767499194e-13,2.17034634762955e-11,"-"
"97","L3MBTL4",-10.9575155044279,9.1361668224948e-13,2.17034634762955e-11,"-"
"98","ZSCAN22",-12.3928932659935,1.04087038887956e-12,2.42480316103268e-11,"-"
"99","IL2RG",-12.352579948285,1.05737232997363e-12,2.4383646760907e-11,"-"
"100","IL18RAP",-12.3260051694801,1.14421222193155e-12,2.61223650266974e-11,"-"
"101","TM4SF4",-12.2587832312831,1.16008233458664e-12,2.62224551471417e-11,"-"
"102","AMZ1",-10.8390911655683,1.20361021853226e-12,2.68010383626809e-11,"-"
"103","CYP2A13",-12.2731406623866,1.20915766594662e-12,2.68010383626809e-11,"-"
"104","LINC00641",12.2668887457765,1.29142329428159e-12,2.8349224815816e-11,"+"
"105","PCDHGA12",12.2900125178805,1.34388736798364e-12,2.92199510581587e-11,"+"
"106","RNF216",-12.2090273914778,1.41506949297443e-12,3.04773929477416e-11,"-"
"107","FCGBP",-12.243006453862,1.44301885007374e-12,3.07888975207321e-11,"-"
"108","TRMT61A",10.7943224990901,1.57778819331893e-12,3.33526893087695e-11,"+"
"109","ZNF205",-12.2424873637468,1.62485572779294e-12,3.40325286839567e-11,"-"
"110","LOC101928725",-12.1717693570859,1.73396380154284e-12,3.59876305356572e-11,"-"
"111","STAM2",-12.1425259124873,1.88898002065696e-12,3.78293104136828e-11,"-"
"112","ATP6V1H",-12.1515514336143,1.85113904223593e-12,3.78293104136828e-11,"-"
"113","SORL1",13.1885111660378,1.88849949548478e-12,3.78293104136828e-11,"+"
"114","TMEM266",12.2086730138784,1.86103003015942e-12,3.78293104136828e-11,"+"
"115","KIAA0930",12.1047572178328,1.91921443767286e-12,3.81005787931056e-11,"+"
"116","GLIPR2",-12.0945096804071,1.94322637113903e-12,3.82447052181932e-11,"-"
"117","GPR25",-12.0195736689518,2.28645612411575e-12,4.46152079603099e-11,"-"
"118","C11orf87",12.1132134220123,2.33504094131041e-12,4.47974661261485e-11,"+"
"119","MIR4755",-11.996314185557,2.3258145343898e-12,4.47974661261485e-11,"-"
"120","CHRNA1",-12.0753377105479,2.47806055614089e-12,4.63722315546692e-11,"-"
"121","TMEM242",-13.9474545584242,2.4620577130767e-12,4.63722315546692e-11,"-"
"122","PLPP7",-12.0763484025273,2.47634825260929e-12,4.63722315546692e-11,"-"
"123","CCDC189",11.946018700055,2.76065569780402e-12,5.12404630738746e-11,"+"
"124","ARHGAP35",11.9297170799249,2.83747993414378e-12,5.22416668520181e-11,"+"
"125","HPN",-11.9958101636183,2.88711299035332e-12,5.2730231655813e-11,"-"
"126","SH2D4A",-11.9334436498349,2.91116801757644e-12,5.2747591937516e-11,"-"
"127","MIR4253",-11.9643157063435,3.08545798382111e-12,5.54653588745165e-11,"-"
"128","NLRP7",-11.8736837257083,3.16541533976077e-12,5.64581501615143e-11,"-"
"129","EBLN2",-11.9616838847815,3.24052507103342e-12,5.73497576524751e-11,"-"
"130","KPNA1",11.9647768166729,3.34276680292826e-12,5.87041277775785e-11,"+"
"131","LIPC-AS1",-14.0583187100844,3.39456245261301e-12,5.91586723611871e-11,"-"
"132","CAB39",-11.8447373935872,3.54830936419026e-12,6.09081975823036e-11,"-"
"133","HDHD2",-11.8447373935872,3.54830936419026e-12,6.09081975823036e-11,"-"
"134","KIR2DL1",-15.0786746274641,3.57762410236062e-12,6.09531031767857e-11,"-"
"135","VAV3",11.8274811449284,3.70447158745289e-12,6.264673062337e-11,"+"
"136","THUMPD3-AS1",-11.8321810279914,3.94778370816155e-12,6.44469174992901e-11,"-"
"137","C9orf85",11.8276752871756,3.95169253663519e-12,6.44469174992901e-11,"+"
"138","LTBP2",14.9609502953911,3.90720832851662e-12,6.44469174992901e-11,"+"
"139","FAH",-11.9098164440432,3.95206677612817e-12,6.44469174992901e-11,"-"
