"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1252","ONECUT1",-8.14063923204148,3.51640710001583e-10,2.91740969532768e-09,"-"
"1253","ADAMTS17",8.10703795976447,3.53903897773843e-10,2.91740969532768e-09,"+"
"1254","LINC01987",8.10698693930215,3.53992958294135e-10,2.91740969532768e-09,"+"
"1255","MVB12A",8.1070230599675,3.53926222160007e-10,2.91740969532768e-09,"+"
"1256","DUSP10",-10.5731315624292,3.55561104275867e-10,2.92800039930358e-09,"-"
"1257","LRRTM1",-9.9811889043552,3.63816967995109e-10,2.99360294349515e-09,"-"
"1258","MMP15",-7.96460847992181,3.6498842820427e-10,3.00085477974306e-09,"-"
"1259","TRMT1L",-7.96440447803505,3.66008193348729e-10,3.00628482516206e-09,"-"
"1260","ZBBX",-9.99123582328446,3.66230192372059e-10,3.00628482516206e-09,"-"
"1261","ABCG2",-10.6505869884864,3.69844142636905e-10,3.03354319372998e-09,"-"
"1262","LINC02541",-10.0307734198241,3.76187281000166e-10,3.0831260280386e-09,"-"
"1263","LINC02447",8.2902032806568,3.78083762017066e-10,3.09373609511573e-09,"+"
"1264","LINC01170",8.29000846253267,3.7837920915802e-10,3.09373609511573e-09,"+"
"1265","GNAZ",8.29032409024159,3.77944729850148e-10,3.09373609511573e-09,"+"
"1266","LINC01338",-10.4977744845429,3.79944468016613e-10,3.1040802785907e-09,"-"
"1267","LINC02612",-10.1460797490347,4.05157653470347e-10,3.30745509853496e-09,"-"
"1268","CCDC33",9.96297772050714,4.11553146244016e-10,3.35701434668916e-09,"+"
"1269","SLITRK6",-10.1238381637119,4.14044969741988e-10,3.37467858316893e-09,"-"
"1270","CDK6",-10.5746532295643,4.15522522740934e-10,3.38405468717282e-09,"-"
"1271","MIR548AH",-10.1697793927585,4.23662450015506e-10,3.44763235287992e-09,"-"
"1272","SEMA4D",-9.8657578433814,4.27571384485873e-10,3.47670662715203e-09,"-"
"1273","BRAF",-8.14008311397592,4.36724509407726e-10,3.54562648107738e-09,"-"
"1274","ALDH3A1",-8.14007737180559,4.36732876041051e-10,3.54562648107738e-09,"-"
"1275","GPAT3",-10.5652244880883,4.40037936873138e-10,3.56965676947362e-09,"-"
"1276","HEMK1",-10.7102787703937,4.50337317026056e-10,3.65034394200666e-09,"-"
"1277","C12orf29",-10.3293629041706,4.51636136861636e-10,3.65800513982765e-09,"-"
"1278","GPR37L1",10.0916001001134,4.56571608199616e-10,3.6950861843573e-09,"+"
"1279","CENPC",-8.11551908888627,4.5964340695865e-10,3.71123726731174e-09,"-"
"1280","FCHO2",-8.11552420396725,4.59635323246141e-10,3.71123726731174e-09,"-"
"1281","GRIPAP1",-8.11551897829534,4.59643714534114e-10,3.71123726731174e-09,"-"
"1282","CHMP6",10.6549717300922,4.6410665943644e-10,3.74434881322239e-09,"+"
"1283","LINC00469",10.2532815626826,4.69541468550972e-10,3.78524349900444e-09,"+"
"1284","LOC100506178",-8.51116865527863,4.7478988452551e-10,3.82457303399326e-09,"-"
"1285","CMTM7",-10.8209480941243,4.93366997938948e-10,3.97112440442221e-09,"-"
"1286","PHKA2-AS1",-9.96206390485592,4.99033322717423e-10,4.01360937547925e-09,"-"
"1287","MIR4445",-9.674350221371,5.15617797893941e-10,4.14377224834268e-09,"-"
"1288","EGOT",-7.99350795842972,5.27873423658002e-10,4.23897113423502e-09,"-"
"1289","LOC439933",-7.99342963439766,5.29760529074141e-10,4.24474522260540e-09,"-"
"1290","TIFA",-7.99342963439766,5.29760529074141e-10,4.24474522260540e-09,"-"
"1291","NMUR2",-7.99342886942139,5.29823656809781e-10,4.24474522260540e-09,"-"
"1292","RNU6ATAC",-10.5730717348316,5.43571263816412e-10,4.35151515607829e-09,"-"
"1293","LOC102467222",-9.89885162938616,5.60523716479741e-10,4.48375622548334e-09,"-"
"1294","BTC",-10.0137055117312,5.65949238215595e-10,4.52365762817921e-09,"-"
