"","Feature","p value","adjusted p value"
"737","GPX4",3.48518198129929e-25,7.94118821258165e-23
"479","ASRGL1",1.00180183570179e-24,2.26092362863097e-22
"623","ECI1",3.4636445838037e-24,7.74320619833928e-22
"288","PPARD",9.84738601855293e-24,2.18087389235186e-21
"203","FGFRL1",1.0729978415927e-23,2.35433609742799e-21
"573","DTD2",2.17404222577734e-23,4.72644758020601e-21
"428","PRF1",5.66534551471917e-23,1.22046993329364e-20
"777","HOMER3-AS1",6.74420245375735e-23,1.4397960860062e-20
"178","OSBPL11",8.58248920090193e-23,1.81588613030155e-20
"800","NR1H2",1.38640535455204e-22,2.90740245016103e-20
"725","CSNK1D",1.49465162001367e-22,3.10690872275999e-20
"506","SLC35F2",1.58394597490382e-22,3.26389284933008e-20
"502","CAPN5",1.95750361954632e-22,3.99887614417147e-20
"24","AKR7A2",2.3256172104551e-22,4.71026931932944e-20
"206","SH3BP2",7.29639863786777e-22,1.46527761458943e-19
"227","SMARCA5",7.56066756303761e-22,1.50558940538909e-19
"402","ENG",1.18714535068441e-21,2.34431528126404e-19
"333","TECPR1",1.62496224897557e-21,3.18237441437803e-19
"407","RAPGEF1",5.18145147323433e-21,1.0064332423052e-18
"878","TXLNG",6.13784872689605e-21,1.18250895350614e-18
"289","PIM1",8.22384318572803e-21,1.57161622558224e-18
"592","ATP5MPL",8.90867551513142e-21,1.68887106945655e-18
"513","CRTAM",1.32841504271714e-20,2.49836914819587e-18
"156","VILL",1.48027474806059e-20,2.76205281140093e-18
"141","PID1",2.23281075283862e-20,4.13366534453255e-18
"488","LOC101928069",2.89811070796472e-20,5.31542266443112e-18
"456","RHOG",2.9160017992828e-20,5.31542266443112e-18
"208","RGS12",3.37114202664562e-20,6.09816432102453e-18
"271","CDYL",3.42932717210655e-20,6.15642166647038e-18
"620","TSR3",3.70476356297956e-20,6.6008858760847e-18
"411","NALT1",6.20428087903974e-20,1.09718540291496e-17
"768","NOTCH3",6.51048521419751e-20,1.14280717126547e-17
"649","PLLP",7.89174437326569e-20,1.37507842950939e-17
