"","Feature","p value","adjusted p value"
"897","HSPB6",1.59485849656422e-41,2.08803103829185e-39
"277","USP53",1.66326916740176e-41,2.16563128900657e-39
"604","CARNS1",2.05120782248432e-41,2.65614599832847e-39
"723","GPR180",2.95170570685658e-41,3.80144402909676e-39
"954","PCBP3",3.26043729524623e-41,4.17635581542973e-39
"716","MYCBP2",6.31425512951027e-41,8.04456472064543e-39
"72","NME7",7.24350999048979e-41,9.17911530719982e-39
"576","PDCD4",8.23275824143987e-41,1.0377216598266e-38
"765","NPTN",9.20874006053283e-41,1.15460059901823e-38
"813","PLEKHH3",1.01627032650648e-40,1.26750304880127e-38
"682","CKAP4",6.73392550915342e-40,8.35465093143501e-38
"35","PRKACB",7.65683767320953e-40,9.45021262198157e-38
"597","CD6",9.16932242590017e-40,1.12583126179563e-37
"799","SNORD118",1.36560763753631e-39,1.66808269003598e-37
"336","CPLX2",1.75761276967849e-39,2.13590511810621e-37
"955","ESS2",1.94836078449146e-39,2.35562783214765e-37
"142","DPP4",2.93092297653006e-39,3.52558790735192e-37
"82","QSOX1",5.91448286034539e-39,7.07856062331336e-37
"910","FOSB",7.38124508468687e-39,8.78961632019219e-37
"961","SSTR3",9.52574764121018e-39,1.12865820926879e-36
"919","ZNF836",1.36184457469512e-38,1.60555377545026e-36
"52","GPR88",3.81841654347622e-38,4.4794562787503e-36
"937","PLCG1",5.48293361348005e-38,6.40044718416929e-36
"537","ARHGAP21",2.04057888965539e-37,2.3703724484394e-35
"145","TTC21B",2.66688602635557e-37,3.08279015446575e-35
"421","ZP3",4.0284781342007e-37,4.63411875466767e-35
"879","ZNF443",6.55213805173024e-37,7.5007736913938e-35
"428","PEX1",1.62621432639581e-36,1.85271158137507e-34
"771","CHD2",3.94649209308273e-36,4.47464225501346e-34
"25","NFIA-AS2",4.99804703686519e-36,5.63993907774259e-34
"78","CACYBP",1.03062964660405e-35,1.15748012964816e-33
"556","SPOCK2",1.20664347888991e-35,1.34876559053086e-33
"358","TAP1",1.48814416315402e-35,1.65561278095121e-33
"274","LEF1",2.43474304238692e-35,2.69607971380574e-33
"871","CELF5",2.47166335937091e-35,2.72423286637268e-33
"179","LOC101929054",2.89225261231075e-35,3.17304213675592e-33
"381","AK9",3.24021364884355e-35,3.53840289569795e-33
"681","GNPTAB",3.6606516316291e-35,3.97919549150068e-33
"187","NSUN3",4.73973323091826e-35,5.12865106726347e-33
"563","CH25H",4.83165488883869e-35,5.20435117730956e-33
"896","LSR",5.40014892845039e-35,5.79037688495425e-33
"246","COMMD8",5.80490337481862e-35,6.19634212941788e-33
"768","AP3B2",1.16862403765998e-34,1.24183335517617e-32
"612","TMEM126A",1.12886844450148e-33,1.19423194327463e-31
"206","CCDC191",2.52699569059977e-33,2.66143186133968e-31
"407","RNF216-IT1",3.62837516453436e-33,3.80449585283057e-31
"523","GARNL3",5.03662779973396e-33,5.25784004274431e-31
"559","KAT6B",7.98773764418151e-33,8.30199205939339e-31
"385","TSPYL4",1.08101455978188e-32,1.11863764293237e-30
"877","ZNF136",1.68319259004098e-32,1.73420064374788e-30
"147","G6PC2",1.76365205475167e-32,1.80923215330953e-30
"611","DDIAS",7.64678847490057e-32,7.81060114179822e-30
"908","ETHE1",1.05826502545425e-31,1.07629640807679e-29
"350","HIST1H3C",2.01199134782672e-31,2.0375281610876e-29
"227","SERPINI1",4.25270954289639e-31,4.28835991651131e-29
"453","TPK1",5.03305766955136e-31,5.05374438963384e-29
"390","PTPRK",6.82453787522368e-31,6.82367400966985e-29
"20","MARCKSL1",7.36812935061345e-31,7.3362420681297e-29
"326","SLC12A2",7.39987276165881e-31,7.33702028590079e-29
"729","ARGLU1",7.87292744953994e-31,7.7735317404895e-29
"949","DNAJC28",1.11996308815798e-30,1.1012350746921e-28
"351","HIST1H4C",1.97770876857028e-30,1.92863229172058e-28
"490","CPSF1",1.97770876857028e-30,1.92863229172058e-28
"542","CCDC7",3.07426949378569e-30,2.98569525386227e-28
"926","C20orf27",3.29679575956613e-30,3.1887415965077e-28
"216","RASA2",3.7050487342602e-30,3.56904633560016e-28
"420","ZNF107",5.34155291175961e-30,5.12464693724565e-28
"359","HCG25",6.76594292135387e-30,6.46502215352108e-28
"769","NGRN",2.12697496318901e-29,2.02421388364216e-27
"286","TMEM184C",2.50061163362778e-29,2.3702797552831e-27
"284","SETD7",2.56687872710964e-29,2.42339941021184e-27
"670","GLIPR1",3.90969963160631e-29,3.67651397500693e-27
"233","PIK3CA",4.37651121472445e-29,4.09921684803657e-27
"239","RGS12",6.13097283870945e-29,5.71990800625582e-27
"530","TUBB4B",8.82259525548175e-29,8.19878587330004e-27
"622","MIR6716",9.69525002607017e-29,8.97454452608534e-27
"824","SRSF1",1.19690205858957e-28,1.10361821332284e-26
"618","DYNC2H1",1.29316719722651e-28,1.18775903382467e-26
"851","WDR7",1.30049742503943e-28,1.18987982552739e-26
"249","GRSF1",1.55296351978182e-28,1.41540678954884e-26
"404","MIR4655",2.89873558178996e-28,2.63185199546654e-26
"510","C9orf40",3.15424232353218e-28,2.85290382979931e-26
"643","ST8SIA1",3.95126017273444e-28,3.56019058225429e-26
"429","LOC101927497",4.4207100779719e-28,3.96808964839773e-26
"103","MIA3",7.14911273019032e-28,6.39292544782339e-26
"683","BTBD11",9.44766965529106e-28,8.41659503088091e-26
"294","AMACR",1.7484227404832e-27,1.55177429517717e-25
"241","ARAP2",2.45497175637451e-27,2.17072633249279e-25
"268","SLC39A8",2.90022713383728e-27,2.55489525615398e-25
"240","DCAF16",3.391426884377e-27,2.97654232885488e-25
"157","OSGEPL1-AS1",3.58783264778765e-27,3.13730148541048e-25
"774","HBQ1",5.06537820692553e-27,4.41302453564391e-25
"425","CLDN12",2.87256114839024e-26,2.49344621001478e-24
"307","CENPK",3.1499242093188e-26,2.7242245981105e-24
"724","FGF14-IT1",3.16242339548239e-26,2.72508898919077e-24
"891","ZNF492",4.1805623804138e-26,3.58937633074876e-24
"600","LTBP3",4.40456936319586e-26,3.76805343681055e-24
"266","ADH5",6.26930992111035e-26,5.34402292088317e-24
"767","SCAPER",1.425192840635e-25,1.21049443528772e-23
"924","ZNF343",5.69480033039079e-25,4.81963155104537e-23
"231","LINC00501",5.92438620655883e-25,4.99609181269838e-23
"796","TNK1",7.11099903302298e-25,5.9755086555158e-23
"684","RASAL1",8.2943194509179e-25,6.94524692679864e-23
"688","ZMYM2",8.70527864922281e-25,7.26369676586736e-23
"412","TOMM7",9.86380632281644e-25,8.20149538357127e-23
"890","ZNF506",1.61548915097401e-24,1.3385400842878e-22
"956","LINC00895",1.87861834512229e-24,1.55113654788721e-22
"49","LOC100129620",2.75687865058978e-24,2.2683942146884e-22
"195","NECTIN3-AS1",3.57693747540057e-24,2.93296496036565e-22
"583","NAP1L4",3.81494198820137e-24,3.11733380325545e-22
"962","GGA1",4.07902288449376e-24,3.32167028501198e-22
"485","ZHX2",6.17426919870429e-24,5.01067319183889e-22
"243","RHOH",6.65817203989467e-24,5.38493866311891e-22
"53","LOC102606465",1.38562971020525e-23,1.11684582458279e-21
"718","RNF219",1.87169671272698e-23,1.50351176276241e-21
"640","AEBP2",2.08338295405852e-23,1.66790290075422e-21
"521","AKNA",2.34178883156621e-23,1.86846363439813e-21
"648","AMN1",2.72875644573961e-23,2.16991078841247e-21
"902","MIR6719",3.68134363478862e-23,2.91761873289585e-21
"525","MIR3154",3.84296801753304e-23,3.03556043704935e-21
"691","EEF1AKMT1",5.09992289377217e-23,4.01504560842921e-21
"273","LEF1-AS1",5.49098483363729e-23,4.30860488750672e-21
"237","NKX1-1",6.75460680910137e-23,5.28263754307839e-21
"508","NDUFB6",7.37744420149627e-23,5.75076629088346e-21
"532","CDC123",9.39200343872968e-23,7.2971247700845e-21
"836","RNF157",1.3577828555575e-22,1.05148301725968e-20
"644","C2CD5",1.62670917846691e-22,1.25563932905962e-20
"248","SULT1B1",1.66407039241808e-22,1.28030766523154e-20
"975","RADX",3.0600941576815e-22,2.34676541276953e-20
"734","GEMIN2",5.5624979216801e-22,4.25208107258237e-20
"646","ERGIC2",6.25251756788769e-22,4.76417713203327e-20
"837","MIR4316",6.90731838944609e-22,5.24624114983025e-20
"30","SRSF11",7.9784649071523e-22,6.0404371535076e-20
"496","RANBP6",9.59197478884767e-22,7.23888619653895e-20
"11","LOC100506985",9.99655241240989e-22,7.52026357196435e-20
"347","ARMH2",1.32037325294063e-21,9.90154587814374e-20
"674","GALNT4",1.57237786124477e-21,1.17541445356206e-19
"34","LINC01725",2.48770986429268e-21,1.85381322811773e-19
"507","TOPORS",2.52689095100545e-21,1.87124171456176e-19
"699","BRCA2",2.52689095100545e-21,1.87124171456176e-19
"169","LINC00620",2.71502806262097e-21,2.00429968847131e-19
"533","MCM10",3.4604978031286e-21,2.54668995157572e-19
"395","MAP3K5",3.64578327325566e-21,2.67474075004146e-19
"338","LMAN2",3.66146268881656e-21,2.67795312768167e-19
"135","PRPF40A",4.58807787412588e-21,3.3453440425588e-19
"814","DUSP3",4.87996727004575e-21,3.54725719013111e-19
"399","ADGRG6",5.2628894631209e-21,3.81390494212771e-19
"129","LINC02611",1.2142453697401e-20,8.74588830599729e-19
"816","FAM171A2",1.2142453697401e-20,8.74588830599729e-19
"376","UFL1",2.77610853059993e-20,1.99349829847353e-18
"260","FAM13A-AS1",3.03323028822035e-20,2.17155462658482e-18
"743","L3HYPDH",3.27927291343055e-20,2.34063042860132e-18
"188","GABRR3",4.24974394545745e-20,3.0242096779431e-18
"917","CPT1C",4.38256175838102e-20,3.10938820324416e-18
"262","LOC101929210",4.79658089276874e-20,3.39297246017734e-18
"105","ITPKB-IT1",5.67856623106942e-20,4.00491023743012e-18
"136","ACVR1C",8.11402204420757e-20,5.70557805286607e-18
"287","PRMT9",8.96762722068501e-20,6.2871556878276e-18
"424","GTPBP10",9.50910112308341e-20,6.64711413904742e-18
"844","PYCR1",1.79928963302647e-19,1.25405195393612e-17
"125","TMSB10",1.91487547456781e-19,1.33069806805963e-17
"701","N4BP2L2",2.00506023280924e-19,1.38929568236493e-17
"474","TMEM67",2.1358698578128e-19,1.47561830963819e-17
"366","OGFRL1",2.30503057420044e-19,1.58785783479151e-17
"295","BRIX1",3.238551772e-19,2.22446264756765e-17
"709","CAB39L",4.68479753644405e-19,3.20854471737326e-17
"178","ALS2CL",5.10321149022269e-19,3.48503754132009e-17
"419","ZNF680",7.48259033430083e-19,5.09525698712433e-17
"205","GRAMD1C",8.15584560166954e-19,5.53779579434851e-17
"223","LINC00880",8.19349413450792e-19,5.54746372872669e-17
"529","SARDH",1.07612068460303e-18,7.26519426297379e-17
"930","KIZ",1.09910927291523e-18,7.39931603416822e-17
"467","GGH",1.23833992817343e-18,8.31301452632455e-17
"468","CSPP1",1.25361349001817e-18,8.3917736929267e-17
"792","TCF25",1.40358906367864e-18,9.36925353295573e-17
"672","OSBPL8",1.69982354082356e-18,1.13148085524988e-16
"397","REPS1",1.76722004962989e-18,1.17304799764928e-16
"305","DEPDC1B",3.62217501979111e-18,2.39761680011145e-16
"345","GMPR",4.86945631419557e-18,3.21424808572402e-16
"320","CAST",5.75946407539584e-18,3.79116722762931e-16
"43","ODF2L",6.31653646884322e-18,4.1463425125257e-16
"199","ABHD10",6.64036163562257e-18,4.34686877567259e-16
"217","TRPC1",7.04583970592677e-18,4.58695778877326e-16
"235","SENP2",7.04583970592677e-18,4.58695778877326e-16
"631","FAM66C",7.76453285878204e-18,5.02721680750158e-16
"901","DLL3",7.76453285878204e-18,5.02721680750158e-16
"144","SCN2A",7.96326664017305e-18,5.14184004283871e-16
"552","ADO",1.03597059217672e-17,6.67103128337277e-16
"601","SLC29A2",1.05525530461951e-17,6.77679809039796e-16
"312","ATG10",1.24516885062015e-17,7.97480169003937e-16
"18","PIGV",2.09676726329262e-17,1.33927476652952e-15
"323","FBXL17",2.15512610044278e-17,1.37285008608044e-15
"654","SLC38A2",2.29217639227857e-17,1.45623871227414e-15
"172","SATB1",2.37659838681783e-17,1.50583561423589e-15
"730","LIG4",2.41559398376693e-17,1.526462150222e-15
"291","DDX60",2.94861759031213e-17,1.85833486802198e-15
"938","LPIN3",3.56885471950672e-17,2.2432665858926e-15
"355","TRIM31-AS1",3.63345127742689e-17,2.27181780794683e-15
"362","SRF",3.63345127742689e-17,2.27181780794683e-15
"929","ANKEF1",3.73718379243907e-17,2.33052748235339e-15
"782","PLLP",4.20439649919399e-17,2.61500220056168e-15
"651","ABCD2",4.38012182424742e-17,2.71716614840815e-15
"925","AVP",1.01945600153139e-16,6.30758456091108e-15
"862","NFATC1",1.13863747964824e-16,7.02663863417301e-15
"863","TPGS1",1.45962982563408e-16,8.98411635793529e-15
"932","XKR7",1.58330479114129e-16,9.72009679680701e-15
"721","MIR17HG",1.70675835194616e-16,1.0450918001568e-14
"159","MFSD6",1.78974681472256e-16,1.09308325434228e-14
"84","RNF2",1.84973531584729e-16,1.12681690950214e-14
"228","MYNN",1.95174774820614e-16,1.18287893578621e-14
"702","EXOSC8",1.95174774820614e-16,1.18287893578621e-14
"722","TGDS",2.76200565080531e-16,1.66967469150851e-14
"44","BTBD8",3.01525736676656e-16,1.81813114046481e-14
"581","EPS8L2",4.24562714458949e-16,2.55351843769891e-14
"752","MIR151B",4.69101645931691e-16,2.81425359585906e-14
"177","FAM240A",4.75461464461237e-16,2.84520462710554e-14
"426","MTERF1",5.77780701452643e-16,3.44878319453987e-14
"746","SLC38A6",6.07239368161727e-16,3.61551540385137e-14
"653","SLC38A1",7.49915072740477e-16,4.45381891697521e-14
"719","NDFIP2-AS1",7.60638647981941e-16,4.50621351030701e-14
"252","G3BP2",7.8346539474743e-16,4.62987018935906e-14
"728","EFNB2",9.66337904630772e-16,5.66814587278104e-14
"946","LTN1",9.66337904630772e-16,5.66814587278104e-14
"977","PRPS1",9.66337904630772e-16,5.66814587278104e-14
"692","LINC00539",1.24069811062472e-15,7.25946250061083e-14
"32","USP33",1.32980884184797e-15,7.7616946121358e-14
"422","KIAA1324L",1.96824361451827e-15,1.14598203767173e-13
"810","CSF3",2.80404435305369e-15,1.6286137018214e-13
"657","FKBP11",3.68803196811404e-15,2.13680424323712e-13
"448","TSPAN33",4.3156094667575e-15,2.49431701301835e-13
"120","PIGF",4.58168018204229e-15,2.64165633269723e-13
"577","AFAP1L2",6.26934602605278e-15,3.6059391451304e-13
"488","AGO2",6.51398056974149e-15,3.73757379082722e-13
"603","RBM4B",1.11974616889057e-14,6.40932970149756e-13
"110","ALLC",1.3783629587004e-14,7.87061856200562e-13
"256","CFAP299",1.7751500336711e-14,1.01119544105539e-12
"483","ENPP2",2.0850674582963e-14,1.17923254318013e-12
"565","IFIT3",2.0850674582963e-14,1.17923254318013e-12
"759","KATNBL1",2.0850674582963e-14,1.17923254318013e-12
"29","GADD45A",2.68894492324576e-14,1.51714113919416e-12
"819","LOC102724596",3.08296822895019e-14,1.7353229957585e-12
"783","COQ9",3.90413359990994e-14,2.1923282918736e-12
"406","WIPI2",6.10226475990456e-14,3.41856661975079e-12
"469","LACTB2-AS1",8.72312496947103e-14,4.87528048116875e-12
"196","CD96",1.15197955457002e-13,6.42316694226961e-12
"213","MBD4",1.16798680833472e-13,6.49713225284224e-12
"647","IPO8",1.29654304386481e-13,7.19535843336401e-12
"848","TAF4B",1.34266057470699e-13,7.43388496234384e-12
"282","SPATA5",1.37989965396893e-13,7.62225689979061e-12
"259","PIGY-DT",1.45349605917699e-13,8.01011537542261e-12
"418","TBRG4",1.55600015046696e-13,8.55511266023561e-12
"168","TATDN2",1.61017037859651e-13,8.83245543092627e-12
"548","LOC102724323",1.64331125725852e-13,8.99342883677949e-12
"449","MKLN1",1.84215587028541e-13,1.00584257276851e-11
"713","KLF12",2.05561702953288e-13,1.1198150976745e-11
"57","DENND2D",2.39277518675265e-13,1.300495266066e-11
"24","HOOK1",2.42564502184918e-13,1.31534348015469e-11
"348","RIPOR2",2.5768626362023e-13,1.39415328516178e-11
"204","ATP6V1A",2.75258358121425e-13,1.48583082287094e-11
"580","PGGHG",2.99758028235246e-13,1.6144013625206e-11
"884","CYP4F22",3.12821945229676e-13,1.68093914650967e-11
"686","STX2",3.35291990704956e-13,1.79760504609397e-11
"114","TTC27",3.82387699091152e-13,2.04086515886555e-11
"477","MTERF3",3.82387699091152e-13,2.04086515886555e-11
"109","SNTG2",4.02873171502566e-13,2.14536753822389e-11
"374","MAP3K7",4.76669387241156e-13,2.53265346848737e-11
"714","LINC01078",5.28800127112939e-13,2.80335047252692e-11
"915","PLEKHA4",5.80138980175121e-13,3.06181590494651e-11
"960","LIMK2",5.80138980175121e-13,3.06181590494651e-11
"620","CWF19L2",7.52478822503013e-13,3.96255347930087e-11
"952","AGPAT3",8.98664725777711e-13,4.72187538952426e-11
"151","TLK1",1.35425143513747e-12,7.09993280054262e-11
"190","DCBLD2",1.41185673066808e-12,7.38560020897164e-11
"372","SLC35A1",1.95984524919768e-12,1.02296151696558e-10
"64","SNX27",2.0206532894713e-12,1.0523828791341e-10
"430","SAMD9",2.10487502124056e-12,1.08906601262746e-10
"447","ST7-OT4",2.10487502124056e-12,1.08906601262746e-10
"626","VSIG2",2.10487502124056e-12,1.08906601262746e-10
"5","UBIAD1",2.28848465755951e-12,1.18148629477533e-10
"671","PHLDA1",3.38476715727192e-12,1.7436701592581e-10
"270","CENPE",3.58268035045779e-12,1.84162204478955e-10
"269","SLC9B2",4.91273172853251e-12,2.51984856647261e-10
"161","INO80D",4.96579187107481e-12,2.54156306628207e-10
"560","DYDC1",5.49205763326591e-12,2.80485538223065e-10
"479","POLR2K",5.94617173831723e-12,3.03024584264308e-10
"866","ONECUT3",6.06235477523944e-12,3.08282448731435e-10
"164","LOC654841",6.08504829442672e-12,3.08773853175653e-10
"909","ZNF428",6.44405947350633e-12,3.2629247295658e-10
"130","PDCL3",7.0761905447757e-12,3.57536220340192e-10
"201","C3orf52",7.17995982683204e-12,3.62007463864764e-10
"106","IRF2BP2",7.62055330387422e-12,3.83406054441417e-10
"817","MAP3K14",7.85101782367962e-12,3.94164341880796e-10
"878","ZNF44",8.5970246643634e-12,4.30705483026257e-10
"251","CDKL2",8.83360079472029e-12,4.41624130870225e-10
"540","ZEB1-AS1",8.98965595632064e-12,4.48479741467221e-10
"541","LOC102031319",9.35977189893425e-12,4.65963266153456e-10
"840","CYTH1",9.39905321900447e-12,4.66937870295071e-10
"882","ADGRL1",1.04262707119314e-11,5.16885642386275e-10
"473","DECR1",1.32361696946994e-11,6.54817355439021e-10
"650","ALG10B",1.47400401574566e-11,7.27697357523436e-10
"394","MYB",1.49638287336831e-11,7.37209666324506e-10
"489","ZC3H3",1.64597814243893e-11,8.09227054800316e-10
"124","MTIF2",1.71500578935591e-11,8.37948292584886e-10
"224","GFM1",1.71500578935591e-11,8.37948292584886e-10
"621","ALKBH8",1.71500578935591e-11,8.37948292584886e-10
"40","C1orf52",1.74921370517145e-11,8.52903645503044e-10
"827","INTS2",1.77398709791592e-11,8.63206822573172e-10
"73","C1orf105",1.78644125401999e-11,8.67485622879339e-10
"663","RXYLT1",1.81320761663312e-11,8.78682635815031e-10
"461","MIR6842",1.83588059072389e-11,8.85063463264276e-10
"629","CD4",1.83734430646674e-11,8.85063463264276e-10
"632","MAGOHB",1.83757954140197e-11,8.85063463264276e-10
"835","EVPL",1.8864285344659e-11,9.06748417469339e-10
"633","TAS2R50",2.1153914662319e-11,1.01474557844731e-09
"433","SDHAF3",2.207836365079e-11,1.05695148168237e-09
"635","FAM234B",2.42056564649841e-11,1.15645451865066e-09
"639","RERG",2.46971109596801e-11,1.17756023825259e-09
"194","MIR4445",2.79304694256606e-11,1.32905287947767e-09
"710","TMEM272",2.81403327004882e-11,1.33635563928551e-09
"45","DIPK1A",2.89621268725841e-11,1.37263104099925e-09
"70","CD48",3.28419205516038e-11,1.55340317627017e-09
"460","LOC101929237",3.32964058317582e-11,1.5717628067633e-09
