"","Feature","p value","adjusted p value"
"1130","WDR45",2.42991517628886e-06,7.05658087408299e-05
"287","KIAA1109",2.45928847792703e-06,7.13269335805016e-05
"1106","MYH9",2.46214422369288e-06,7.13269335805016e-05
"1100","C22orf15",2.46909373305206e-06,7.14409208695174e-05
"332","MIR2277",2.91663457317646e-06,8.42871822933689e-05
"390","PRR3",2.96886753780977e-06,8.56921486522268e-05
"1032","ZNF780A",2.9780485278924e-06,8.58525741672338e-05
"1123","XG",3.26204656397731e-06,9.39255375778497e-05
"283","MCUB",3.37394705797424e-06,9.70296400883683e-05
"125","SLC1A4",3.44901593265589e-06,9.9068279461996e-05
"577","LRRC8A",3.53624159027481e-06,0.000101450746930681
"861","IL32",3.61602091083179e-06,0.000103614084067692
"817","LINC00239",3.66045616714149e-06,0.000104760664000908
"524","RDH10-AS1",3.79333781109202e-06,0.000108432721483049
"203","P4HTM",3.87604588737985e-06,0.000110663445052097
"512","CCDC25",3.96644554497866e-06,0.000113108134872875
"173","TMEM169",4.01899125232073e-06,0.000114468792916159
"1039","RTN2",4.09836220813792e-06,0.00011658930281662
"42","MCOLN3",4.137381450659e-06,0.000117447277734408
"23","PTP4A2",4.13843427050813e-06,0.000117447277734408
"447","UTRN",4.20194855835692e-06,0.000119107147114096
"436","LINC00271",4.21948394183255e-06,0.000119461303428442
"281","PAPSS1",4.41719054160751e-06,0.000124909503895553
"1108","APOBEC3H",4.46188135820974e-06,0.000126022887420139
"63","NBPF9",4.59961306966376e-06,0.000129758370133122
"869","COG7",4.71480352084137e-06,0.0001326484922592
"683","TIRAP",4.72171411391979e-06,0.0001326484922592
"655","EHD1",4.72324945527856e-06,0.0001326484922592
"1095","BCL2L13",4.72445151144722e-06,0.0001326484922592
"1092","PTTG1IP",4.90974760393037e-06,0.000137687915941228
"21","LAPTM5",4.95099168734232e-06,0.000138680437369918
"551","MIR4473",5.08128400671419e-06,0.00014216196824924
"66","LMNA",5.37671527823308e-06,0.000150250025882417
"32","KNCN",5.54813930155801e-06,0.000154857782130766
"1011","ZNF333",5.61229636291244e-06,0.000156464219896395
"148","FLJ42351",6.48660302755044e-06,0.000180626359511002
"545","C9orf66",6.54782825000387e-06,0.000182117237136551
"1135","SOWAHD",6.64702914955515e-06,0.000184659612845262
"612","CAMK2G",6.71158753387979e-06,0.00018623476556247
"916","RAI1",6.84634858437519e-06,0.000189751956027999
"1076","NFATC2",7.156002506218e-06,0.000198102560034869
"122","AFTPH",7.4830258430885e-06,0.000206192166748451
"503","ABCF2",7.4830258430885e-06,0.000206192166748451
"572","PPP6C",7.4830258430885e-06,0.000206192166748451
"905","C17orf107",7.4830258430885e-06,0.000206192166748451
"109","TOGARAM2",7.72267194201708e-06,0.000212548382125411
"154","MIR3679",8.0706225820281e-06,0.000221642120192017
"781","NYNRIN",8.07178755647173e-06,0.000221642120192017
"259","AFAP1",8.28896397690535e-06,0.000227342105741581
"924","IKZF3",8.4231228518964e-06,0.000230754615284843
"302","LINC01262",8.46076944575938e-06,0.000231518306646836
"1001","FCER2",9.15632307587982e-06,0.000250215646518066
"628","CNNM2",9.16517623233665e-06,0.000250215646518066
"170","ANKRD44-IT1",9.48805634967121e-06,0.000258732418087639
"923","SYNRG",9.6607134764003e-06,0.00026313784741409
"360","SGCD",9.86355759192814e-06,0.000268354448055019
"838","HCN4",9.91195213416737e-06,0.000269361846013032
"465","TTYH3",1.01704099506255e-05,0.000276068962886567
"451","FBXO5",1.02592593676209e-05,0.000278162092945667
"22","MIR4254",1.03431818341333e-05,0.000280117005626808
"568","TMEM245",1.03583787844237e-05,0.000280208335678641
"540","WISP1",1.05074819355726e-05,0.000283917673235192
"686","B4GALNT3",1.05917272715037e-05,0.000285868065094332
"469","ZNF316",1.07038725204018e-05,0.000288566174193357
"614","KAT6B",1.1119172282079e-05,0.00029942161996412
"72","ITLN1",1.16911727722257e-05,0.0003144673339199
"675","FDX1",1.17572725317493e-05,0.000315886720164245
"323","HEXB",1.17847697029631e-05,0.000316266916932181
"851","AGBL1-AS1",1.29763090276966e-05,0.000347850220621411
"64","BNIPL",1.3205658372977e-05,0.000353199194655119
"255","HTT",1.3205658372977e-05,0.000353199194655119
"342","TCF7",1.32234537735487e-05,0.000353276419472136
"595","CELF2-AS1",1.32573861183526e-05,0.000353784097800227
"531","EXT1",1.36508670593114e-05,0.000363874686956695
"108","KHK",1.38057014874503e-05,0.000366764246802813
"320","BDP1",1.38057014874503e-05,0.000366764246802813
"689","FKBP4",1.38057014874503e-05,0.000366764246802813
"82","DENND1B",1.41969036865278e-05,0.000376734632317636
"668","SYTL2",1.46215342391776e-05,0.000387568788440482
"454","MIR3918",1.51243784022615e-05,0.000400449603350159
"1048","ZNF845",1.60440920853541e-05,0.000424326841681514
"325","IQGAP2",1.75761927609518e-05,0.000464328918457384
"415","SLC17A5",1.83871748015189e-05,0.000485212562663245
"1054","NOP56",1.85434842825155e-05,0.000488793044541457
"679","UPK2",1.92348947070785e-05,0.000506454777637376
"720","IFNG",1.95378047699292e-05,0.000513859444653731
"979","SLC14A1",1.96483922774866e-05,0.000516195068513968
"312","SNX18",2.03291370875262e-05,0.000533487886559368
"996","FZR1",2.19429489498708e-05,0.000574812164469217
"18","AHDC1",2.19523572116572e-05,0.000574812164469217
"296","DDX60L",2.304189213609e-05,0.000602629897179397
"669","MIR3166",2.30655912875771e-05,0.000602629897179397
"780","IPO4",2.4592699425109e-05,0.000641661640151875
"61","LINC01145",2.46136823605543e-05,0.000641661640151875
"367","ERGIC1",2.47853413492995e-05,0.000645426630719066
"874","QPRT",2.50574267112149e-05,0.000651795653979869
"157","NR4A2",2.58102667233982e-05,0.000670642423842508
"322","LINC01331",2.61776426594458e-05,0.000679377973466053
"819","MIR4309",2.62038008080336e-05,0.000679377973466053
"500","PRSS1",2.66644231202358e-05,0.000690564846645058
"14","MIR1256",2.69989663171456e-05,0.000698465616612882
"437","LOC101928461",2.72016166749357e-05,0.00070294079645142
"97","MIR4671",2.83705175210206e-05,0.000732348751302423
"682","NRGN",2.91999418996556e-05,0.000752939089440846
"695","KLRD1",3.03173901840043e-05,0.000780903473032989
"799","TMEM30B",3.08054191829829e-05,0.000792612397805805
"546","SLC1A1",3.10615113455865e-05,0.000798334744421218
"860","SRRM2",3.1095943236819e-05,0.000798353810273998
"850","NMB",3.1240017872102e-05,0.000800503754498554
"1139","ARHGEF6",3.12792442069047e-05,0.000800503754498554
"765","UBAC2-AS1",3.12810261495405e-05,0.000800503754498554
"845","ACSBG1",3.13804627771463e-05,0.000802182121283749
"742","RAN",3.19217292261059e-05,0.000815139242964474
"578","MIR6855",3.22603456400817e-05,0.000822899257947272
"330","LYSMD3",3.29042440633666e-05,0.000838421367279138
"824","ATP10A",3.35712417449135e-05,0.000854498083382615
"470","ARL4A",3.37004733375746e-05,0.000856867077983374
"79","CEP350",3.39329005656671e-05,0.000861852030765931
"1069","FAM83D",3.4114520708812e-05,0.000865537256142097
"673","CASP12",3.43033997140984e-05,0.000869398570080203
"288","IL21",3.50820380594088e-05,0.000888182752023303
"151","TSN",3.58391478832224e-05,0.000906382377149116
"1057","PROKR2",3.62436895837024e-05,0.000915636153587417
"971","CEP76",3.63718391237667e-05,0.000917895071049946
