"","Feature","p value","adjusted p value"
"631","RELB",4.23178449919114e-106,1.00280597277332e-101
"271","ZHX1-C8orf76",6.93255406309151e-85,8.21403668165397e-81
"483","TXNDC11",2.61833993799646e-82,2.06822671702341e-78
"516","WDR81",2.75471629700243e-81,1.63196280225166e-77
"613","MIR639",5.40887496024328e-77,2.5634821986577e-73
"591","HMG20B",8.72365759480346e-75,3.30942794251892e-71
"53","GBA",9.77591914488435e-75,3.30942794251892e-71
"164","ALG1L2",7.06768596198541e-69,2.0935369280146e-65
"638","PRMT1",1.23796422477522e-66,3.25955980383316e-63
"304","SH3GLB2",2.26311010518364e-65,5.36289201625367e-62
"197","XRCC4",1.99365318834753e-60,4.29487269129741e-57
"159","GSK3B",6.43899887938339e-60,1.27154130370624e-56
"295","FKBP15",9.57115010455856e-59,1.74467341559788e-55
"125","DTYMK",1.95534927918159e-58,3.30970799062615e-55
"7","CAMTA1",2.3445290226274e-52,3.70388694994676e-49
"46","INTS3",2.50365487048845e-51,3.7080693416228e-48
"433","PPP4R3A",2.17824606421823e-49,3.03634688139878e-46
"593","NDUFA11",2.34571893838939e-49,3.08813898238964e-46
"114","NABP1",5.20726223135802e-49,6.49455226823637e-46
"290","CARD19",1.12105359357579e-48,1.32828035034827e-45
"423","CARS2",1.1547672808682e-46,1.30307239308256e-43
"145","TREX1",5.55373305921531e-45,5.98212783201024e-42
"225","LSM2",7.31743043003783e-44,7.53918038698289e-41
"166","ATP1B3",8.79381625771705e-44,8.68279432746337e-41
"249","LOC100996437",6.40426041019983e-41,6.07047035762022e-38
"115","FZD5",7.03201278019072e-41,6.40913872508383e-38
"509","MBTPS1",1.33121808517035e-40,1.15232319428594e-37
"260","ENTPD4",1.36156684137259e-40,1.15232319428594e-37
"123","DUSP28",3.03379467717054e-40,2.47902870568656e-37
"22","BSDC1",3.3199605960109e-40,2.62243687478901e-37
"569","MPPE1",4.55366578361863e-40,3.48091026046486e-37
"403","CORO1C",6.70408226478594e-40,4.96458241964476e-37
"9","MFN2",8.45745529317824e-40,6.07322176007409e-37
"31","YBX1",9.66438967724399e-40,6.73579535828385e-37
"465","CIB1",1.39824304814594e-39,9.46690443197555e-37
"480","ROGDI",1.35717450969513e-38,8.9336012100682e-36
"202","HNRNPA0",3.05206064865971e-38,1.95472111327809e-35
"81","ADSS",3.97927113079006e-37,2.45667548260228e-34
"649","SLC27A5",4.04314233115959e-37,2.45667548260228e-34
"686","SUN2",5.78681399302446e-37,3.37236491219954e-34
"289","ZFAND5",5.834787584934e-37,3.37236491219954e-34
"496","DNAJA2",7.02562012783167e-37,3.96395524212446e-34
"62","TOR1AIP1",8.27096162436759e-37,4.45447676392361e-34
"302","FAM102A",8.27096162436759e-37,4.45447676392361e-34
"233","ATG5",1.47212455474019e-36,7.75220790526183e-34
"293","NR4A3",3.52668579318695e-35,1.81677985306851e-32
"599","MARCH2",2.68984137965842e-34,1.35619513135671e-31
"277","ZFP41",2.93340722624719e-34,1.44818648000791e-31
"524","SLC25A35",1.06449379624667e-33,5.14802234482805e-31
"167","GMPS",4.60908966230259e-33,2.18443195455169e-30
"150","CISH",5.86580261979847e-33,2.72552793492871e-30
"379","C2CD3",6.0646236015661e-33,2.76371895165984e-30
"137","CSRNP1",1.06179665458635e-32,4.57479914976957e-30
"499","KATNB1",1.06179665458635e-32,4.57479914976957e-30
"692","NCAPH2",1.06179665458635e-32,4.57479914976957e-30
"476","CREBBP",2.36711552065177e-32,1.0016702945158e-29
"358","B3GAT3",4.41952542840602e-32,1.83735954520943e-29
"191","DHX29",1.19029529927421e-31,4.70107128448349e-29
"303","ENDOG",1.19029529927421e-31,4.70107128448349e-29
"463","AEN",1.19029529927421e-31,4.70107128448349e-29
"1","HES4",3.84984183618305e-31,1.49556888511524e-28
"487","POLR3E",5.9840454971167e-31,2.28716009911572e-28
"70","G0S2",6.66744339715068e-31,2.50791120924254e-28
"223","MSH5",4.07500608074459e-30,1.5088346733657e-27
"412","PSMD9",1.64021854302419e-28,5.97973212523758e-26
"644","LENG8-AS1",6.57502419850608e-28,2.36073255199998e-25
"294","ABCA1",1.14920537025621e-27,4.06458502372557e-25
"66","EIF2D",4.87993672800955e-26,1.70058618593592e-23
"258","LOC101929066",6.07827138816141e-26,2.08748981282987e-23
"344","ZBED5",9.54791688030893e-26,3.23224266160973e-23
"267","CHMP4C",1.13217919698325e-25,3.77876766632564e-23
"10","MIIP",1.53905196239419e-25,4.99640285288185e-23
"394","TUBA1C",1.5391712379642e-25,4.99640285288185e-23
"673","C21orf58",5.36717142224098e-25,1.71872785395736e-22
"126","D2HGDH",1.05028289564649e-24,3.31847383708466e-22
"583","KLF16",2.56570848507701e-24,7.99994657511447e-22
"118","ACSL3",8.96549146808444e-24,2.75915910804152e-21
"441","TEDC1",9.77563822034859e-24,2.96991408855898e-21
"102","FER1L5",1.64667906735378e-23,4.90179088282979e-21
"158","MAATS1",1.65482242742281e-23,4.90179088282979e-21
"459","C15orf39",1.89461694152785e-23,5.54280711893647e-21
"471","SNHG9",3.651130122733e-23,1.05513207949273e-20
"184","HNRNPDL",5.63258518416764e-23,1.60813700131591e-20
"248","UPP1",8.22533549504043e-23,2.3204258955473e-20
"36","PKN2",1.06144037144588e-22,2.95917088025329e-20
"402","DUSP6",2.43308857003787e-22,6.70429067955666e-20
"611","NANOS3",4.9568531717753e-22,1.35014424840873e-19
"196","DHFR",8.51018700466131e-22,2.29165797101658e-19
"572","RPRD1A",1.17212850928942e-21,3.12089093085747e-19
"216","MGAT1",1.3520808374495e-21,3.56002884500452e-19
"555","CYTH1",1.47290688288384e-21,3.83554663776905e-19
"582","REXO1",1.71259161670224e-21,4.41122647184706e-19
"447","LEO1",2.27175924796885e-21,5.7885891289374e-19
"204","SLC35A4",2.90791524834892e-21,7.33073060001323e-19
"633","CCDC9",2.98736738016505e-21,7.45175208502855e-19
"421","MRPS31",8.03718445659682e-21,1.98392875070807e-18
"365","NEAT1",1.40421078042024e-20,3.43047246016684e-18
"220","TDP2",1.45189235757445e-20,3.51076461198385e-18
"259","ATP6V1B2",1.54932251915249e-20,3.7085147208441e-18
"641","ETFB",1.92229023295079e-20,4.55525116502348e-18
"316","MAPK8",2.21195664659181e-20,5.18977590636497e-18
"586","MKNK2",2.75888349650018e-20,6.40953551142793e-18
"314","MAP3K8",6.10688547614817e-20,1.40499869056586e-17
"87","DNMT3A",6.24557614266375e-20,1.42309055627599e-17
"494","CD2BP2",9.17793806215608e-20,2.07132950722774e-17
"523","PER1",9.29398561969714e-20,2.07773186066003e-17
"325","PDCD11",9.72148637691171e-20,2.15299123994091e-17
"336","KCNQ1-AS1",1.32183582458673e-19,2.90032810511405e-17
"385","GABARAPL1",2.06189201563832e-19,4.48262890775974e-17
"507","GCSH",2.21858502957497e-19,4.77943722234892e-17
"127","PDCD1",2.30135711200891e-19,4.91308643993471e-17
"698","USP11",5.1225414240392e-19,1.08382914397729e-16
"19","SRSF4",6.41252692967601e-19,1.34475797037639e-16
"353","PTPRJ",9.18338831202426e-19,1.90893642833367e-16
"207","PPARGC1B",1.05639786901638e-18,2.17682263496358e-16
"213","TSPAN17",1.34852957165416e-18,2.75483666030075e-16
"270","AZIN1-AS1",2.02355061375769e-18,4.09846828155691e-16
"656","CBFA2T2",3.5508481485191e-18,7.13088547249637e-16
"299","PBX3",3.65038296338794e-18,7.26917017507597e-16
"658","ERGIC3",3.78033229239619e-18,7.403515234125e-16
"668","URB1-AS1",3.78033229239619e-18,7.403515234125e-16
"527","B9D1",5.49017504753113e-18,1.0663990008307e-15
"617","HAUS8",7.65497684949443e-18,1.47479663741845e-15
"11","MIR7846",7.78700644927184e-18,1.48813461151931e-15
"60","PRDX6",7.92217795329152e-18,1.48993532507261e-15
"71","PPP2R5A",7.92217795329152e-18,1.48993532507261e-15
"559","SLC38A10",1.54559211183208e-17,2.88392884047912e-15
"345","SOX6",1.67631631985267e-17,3.10341154933975e-15
"429","ISCA2",1.83525083799902e-17,3.37131310915215e-15
"522","PHF23",1.98015609323809e-17,3.60951991857408e-15
"434","SNHG10",2.01010902474146e-17,3.636149126664e-15
"474","PAQR4",2.18642146728766e-17,3.92512344775119e-15
"490","NFATC2IP",2.28195103811807e-17,4.05032667393299e-15
"584","CSNK1G2",2.29034803691193e-17,4.05032667393299e-15
"697","NYX",2.58361868767725e-17,4.5351120031028e-15
"292","TSTD2",3.47172697966246e-17,6.04922898801922e-15
"327","SMC3",3.74862858729606e-17,6.4840329659237e-15
"632","ERCC1",3.80399384417864e-17,6.53211899460154e-15
"268","LOC101929709",3.92814127852741e-17,6.69677437965928e-15
"13","SPEN",4.53182263342151e-17,7.67075721029924e-15
"457","ULK3",1.22838180598741e-16,2.04992701806222e-14
"521","C1QBP",1.22838180598741e-16,2.04992701806222e-14
"588","JSRP1",2.13893513551367e-16,3.54449971372499e-14
"469","MSLN",2.71841571390462e-16,4.4734928591943e-14
"390","AMN1",2.75018509524987e-16,4.4945611173887e-14
"298","GOLGA1",2.90081347035091e-16,4.70825868540448e-14
"209","LINC01366",3.92105121899215e-16,6.32089460792225e-14
"677","ADORA2A",4.40702281932442e-16,7.05629863172506e-14
"330","FANK1-AS1",4.56284444769334e-16,7.25676005885832e-14
"76","ARV1",5.08721969149753e-16,8.0367896686278e-14
"34","EIF2B3",8.88241819568004e-16,1.36679651937032e-13
"177","TADA2B",8.88241819568004e-16,1.36679651937032e-13
"346","TMEM86A",8.88241819568004e-16,1.36679651937032e-13
"672","SUMO3",8.88241819568004e-16,1.36679651937032e-13
"37","ZNF326",9.0846965953039e-16,1.38890358205753e-13
"210","STK10",9.88607842769386e-16,1.50173333654526e-13
"219","LOC100130357",1.12038674584727e-15,1.69107036409827e-13
"400","MDM1",1.14751284171431e-15,1.72105138038633e-13
"231","GCLC",1.19105990709981e-15,1.77512871814743e-13
"156","FOXP1",1.28925597783377e-15,1.90946868167043e-13
"396","CERS5",1.70639178448441e-15,2.51157553521287e-13
"291","FBP1",1.82603190599525e-15,2.67107889360306e-13
"663","RTF2",2.2966155805528e-15,3.33882818480734e-13
"557","TBC1D16",2.32347305558687e-15,3.35727689013672e-13
"232","TENT5A",2.38450104746802e-15,3.42457704980907e-13
"371","KDM2A",2.82643751499403e-15,4.03482468631407e-13
"466","FAM174B",3.07978590217052e-15,4.37016086968472e-13
"18","FGR",3.61712332073144e-15,5.10208162686743e-13
"12","CASP9",4.00337402367333e-15,5.6134884165081e-13
"120","NMUR1",4.12714043655066e-15,5.75299099558476e-13
"451","PIF1",4.1570302505106e-15,5.76076876294443e-13
"409","PRKAB1",4.28018025673134e-15,5.89694369440479e-13
"639","TBC1D17",5.37846735667313e-15,7.36725670237474e-13
"688","NAGA",5.41561453906998e-15,7.37550676622652e-13
"257","CNOT7",6.20872084883306e-15,8.40731759741697e-13
"333","RNH1",6.3760479028951e-15,8.58484131561961e-13
"320","PGAM1",1.4276236265643e-14,1.90058410554462e-12
"410","POP5",1.4276236265643e-14,1.90058410554462e-12
"470","MSRB1",1.64336832005024e-14,2.17558095420282e-12
"230","MAD2L1BP",2.614969433344e-14,3.44260725899738e-12
"653","GPCPD1",2.93660549286394e-14,3.84468178808822e-12
"265","TM2D2",2.97117240372556e-14,3.84742472410299e-12
"627","RAB4B",2.97117240372556e-14,3.84742472410299e-12
"21","HDAC1",3.13090525163805e-14,4.01043577016578e-12
"432","LOC101928504",3.13090525163805e-14,4.01043577016578e-12
"669","SYNJ1",3.39338953997489e-14,4.32328773810672e-12
"609","LOC284454",3.68849701494062e-14,4.67413442583143e-12
"83","ADAM17",5.24502103004622e-14,6.61123741218113e-12
"550","CD300LB",8.40105713011375e-14,1.05333254398045e-11
"228","C6orf106",9.09714966057292e-14,1.13460608161367e-11
"173","UVSSA",9.89510656798023e-14,1.22766670335826e-11
"415","SFSWAP",1.20884694471317e-13,1.49198156504521e-11
"48","DENND4B",1.25646027560104e-13,1.54271187310455e-11
"47","SLC27A3",1.27198811214865e-13,1.55372692234982e-11
"339","RPL27A",1.36252029193838e-13,1.6557765824648e-11
"361","NXF1",1.39593628595171e-13,1.68772970245907e-11
"236","HECA",1.43788804707777e-13,1.72962604322852e-11
"438","DYNC1H1",1.68472021187868e-13,2.01630378085298e-11
"511","GINS2",1.71206174503341e-13,2.03873000864606e-11
"452","ANKDD1A",2.00740163557555e-13,2.37846982791169e-11
"253","GATAD1",2.69297706269824e-13,3.17489937585872e-11
"642","MBOAT7",4.1722991179109e-13,4.89460258401657e-11
"695","CLTRN",5.54554827068065e-13,6.47353977193692e-11
"533","MYO18A",5.68230180590079e-13,6.60066205364858e-11
"602","TMEM205",7.81193045743832e-13,9.03021053902029e-11
"362","COX8A",8.87492103783747e-13,1.02091749433803e-10
"482","CARHSP1",9.69855247735961e-13,1.11027342056034e-10
"529","WSB1",1.01983269706595e-12,1.16187381838326e-10
"154","DENND6A",1.46304912688638e-12,1.65884570142711e-10
"594","ALKBH7",1.51269002833387e-12,1.70696264768703e-10
"589","ZNF77",2.5058056449676e-12,2.81422162885294e-10
"707","CXorf40B",2.54960475482548e-12,2.84990489976884e-10
