"","Feature","p value","adjusted p value"
"1195","FAM187B",2.99626932834817e-06,7.38840731257716e-05
"1253","OSER1-DT",3.00192616400849e-06,7.39466157053109e-05
"745","CORO1B",3.08424515764773e-06,7.58954906550139e-05
"1263","FAM210B",3.14976525458853e-06,7.74273726535108e-05
"370","PAIP2",3.26474307724389e-06,8.01705872553869e-05
"422","NCR2",3.32651102399334e-06,8.16028278836129e-05
"40","HPCAL4",3.41774145125978e-06,8.37541046230641e-05
"281","TPRA1",3.43269771305003e-06,8.40337166385812e-05
"443","SMLR1",3.5580191019289e-06,8.70117426815368e-05
"241","SH3BP5-AS1",3.59144184141312e-06,8.77385539339864e-05
"479","CCM2",3.72130645967328e-06,9.07262783660705e-05
"1033","MNT",3.72139690981223e-06,9.07262783660705e-05
"645","CELF2-AS1",3.79535734461762e-06,9.24343093477943e-05
"1189","CRTC1",3.8805117762651e-06,9.44111781952301e-05
"1034","PAFAH1B1",3.89682676384677e-06,9.47108757157711e-05
"758","ATP5MG",3.98437426161061e-06,9.67394640137159e-05
"1325","MIR1281",4.04592151866119e-06,9.81332673773944e-05
"977","CHD2",4.14235348332185e-06,0.000100369479033004
"585","LOC730098",4.2445287958349e-06,0.00010274014185383
"1366","ATP1B4",4.30103556403322e-06,0.000104001673225403
"231","LINC01237",4.41519009655394e-06,0.000106653169947032
"296","PARL",4.4616865509964e-06,0.000107666584723994
"510","CUL1",4.50830239832854e-06,0.000108680815801822
"351","OTULIN",4.54251051669553e-06,0.000109394178571274
"1290","AGPAT3",4.59956486319827e-06,0.000110655724429654
"349","MRPL36",4.72569692115613e-06,0.000113574888377928
"250","XCR1",4.76595652390983e-06,0.000114426415143963
"1191","PBX4",4.95916675385861e-06,0.00011894471109938
"990","NOMO1",5.00879025277822e-06,0.000120013450576426
"646","CAMK1D",5.06267926424288e-06,0.000121182131843196
"491","FGL2",5.20847122193692e-06,0.000124546057059777
"1064","CRLF3",5.31457435992148e-06,0.000126873505932206
"555","TP53INP1",5.31651227542223e-06,0.000126873505932206
"919","TRAF3",5.32731269626115e-06,0.000127003349057646
"732","GNG3",5.55982307724913e-06,0.000132413193428716
"942","CERNA1",5.73564213432005e-06,0.000136463365117452
"1076","KLHL11",5.7434363065295e-06,0.000136511745392006
"877","ADCY4",5.81610847277533e-06,0.00013810052352641
"270","SLMAP",5.92273742255895e-06,0.000140491600302682
"536","TNFRSF10A",6.14053752941627e-06,0.000145512317834577
"666","PPP3CB",6.19407666786081e-06,0.0001466344003979
"1342","FAM9C",6.24289531870216e-06,0.00014752307804959
"1126","BAIAP2-DT",6.24406664488073e-06,0.00014752307804959
"811","CFAP54",6.2653018206269e-06,0.000147877347851988
"1340","XG",6.48722194352559e-06,0.000152962883975847
"1123","USP36",6.64582675906002e-06,0.000156546875456705
"146","MIR1537",6.84296838889723e-06,0.000161030607658091
"859","KLF12",7.02703452627464e-06,0.000165198052747153
"1362","MORC4",7.18842595030828e-06,0.000168824707378053
"364","CDC42SE2",7.32165840628322e-06,0.000171783504211578
"911","DICER1-AS1",7.67213777689091e-06,0.000179828535013832
"946","RORA-AS2",7.76388128483464e-06,0.000181799105540243
"850","WBP4",7.88000060512719e-06,0.000184336006258341
"1052","PRPSAP2",7.88847016416454e-06,0.000184352147416378
"452","SYTL3",7.90751866107597e-06,0.000184615241095091
"779","FOXJ2",7.9859511664465e-06,0.000186262878731577
"1218","PLEKHA4",8.11091330195218e-06,0.000188991457734868
"166","CYP1B1",8.20811000856752e-06,0.000191068352527529
"412","RPL10A",8.45033106858323e-06,0.000196513734379015
"696","CALY",8.69428350195964e-06,0.000201988662888174
"819","BICDL1",8.96138983378411e-06,0.000207990259442881
"999","ZNF688",9.47525826418272e-06,0.000219701756444558
"1159","UBXN6",9.67176422018222e-06,0.000224038901980115
"762","C2CD2L",9.73452401557705e-06,0.000225080262082594
"1117","UBE2O",9.7437509990108e-06,0.000225080262082594
"170","ZFP36L2",9.74521453756768e-06,0.000225080262082594
"456","RNASET2",9.84560958543993e-06,0.000227177614747975
"358","SERINC5",9.90011979475603e-06,0.000227809743715814
"626","RAPGEF1",9.90161557830557e-06,0.000227809743715814
"1214","ZNF541",9.90184563562006e-06,0.000227809743715814
"1061","CORO6",1.00575169434943e-05,0.000231166807963128
"728","AHNAK",1.02435901821656e-05,0.000235215461770135
"219","MAIP1",1.05033645655279e-05,0.000240946979776684
"882","PPP2R3C",1.06063890524135e-05,0.000243075049685729
"726","MRPL16",1.06705668665133e-05,0.000244283236510178
"172","SPTBN1",1.06828205776787e-05,0.000244283236510178
"486","GALNT17",1.06900331797719e-05,0.000244283236510178
"604","TNFSF8",1.08691734592737e-05,0.000248035643969916
"294","LAMP3",1.08751755110243e-05,0.000248035643969916
"1023","C16orf46",1.08916294878195e-05,0.000248172061512364
"797","LOC283335",1.09261150343824e-05,0.000248718682007453
"1163","TUBB4A",1.0973207534469e-05,0.000249550958679761
"1326","RANGAP1",1.10521860894359e-05,0.000251029505447902
"810","ELK3",1.1059408519543e-05,0.000251029505447902
"496","SAP25",1.11220415429607e-05,0.00025220958702731
