"","Feature","p value","adjusted p value"
"320","CREM",8.9786445391384e-25,1.07458050325234e-22
"321","CCNY",9.73439202695276e-25,1.15917531589296e-22
"601","MYO1F",1.42793162395985e-24,1.69188478464883e-22
"83","GMCL1",2.84809857821845e-24,3.35778069691754e-22
"141","LINC01565",3.91817145511727e-24,4.59648064217396e-22
"388","ATP5MC2",4.14906349494343e-24,4.84336737141254e-22
"4","MMP23B",4.24053290534229e-24,4.92587785577923e-22
"276","GLI4",1.4585601328826e-23,1.68602436433751e-21
"674","ZNF582",1.93925501123963e-23,2.23080223307503e-21
"484","ZC3H7A",2.00945410791625e-23,2.28932855746593e-21
"553","CEP95",2.00945410791625e-23,2.28932855746593e-21
"493","ATXN2L",3.03257222316893e-23,3.43841454413561e-21
"346","C10orf91",4.79866262842535e-23,5.4149480145617e-21
"226","IGF2R",6.85312621833708e-23,7.69661289080255e-21
"204","PPT2-EGFL8",1.39756518843317e-22,1.56217463539155e-20
"172","ARHGEF28",1.44180517836288e-22,1.60405902871667e-20
"634","ZNF461",1.49251121780142e-22,1.65271207141309e-20
"380","LOC105369595",2.01647348719881e-22,2.22252894075117e-20
"715","U2AF1",2.44166712202135e-22,2.67871230511759e-20
"335","MORN4",2.47589369547764e-22,2.70374437335178e-20
"468","TBC1D2B",5.12614779246511e-22,5.57221670816724e-20
"130","AZI2",7.6288869965719e-22,8.25487375149609e-20
"295","WDR38",8.11483692036754e-22,8.7407859319068e-20
"504","C16orf47",1.54772980370543e-21,1.65209698911745e-19
"628","ZNF30",1.54772980370543e-21,1.65209698911745e-19
"712","DYRK1A",2.20736036322941e-21,2.34564208643262e-19
"461","GATM",2.66999874608609e-21,2.82459644133938e-19
"23","SLC2A1-AS1",4.3187495900155e-21,4.54850706820433e-19
"370","NUDT8",4.79986104774096e-21,5.03284545346538e-19
"300","SET",5.18719432983198e-21,5.41501956097042e-19
"215","BACH2",6.36345830719215e-21,6.61381015375142e-19
"567","MIR4730",8.48221237944453e-21,8.77742300243218e-19
"298","FPGS",1.08930303712421e-20,1.12231365524923e-18
"689","SAMHD1",1.13306712159222e-20,1.16235028486454e-18
"648","CYP2F1",1.28514940826777e-20,1.31268041067765e-18
"738","C22orf34",1.61657933057066e-20,1.6441236221688e-18
"717","TRPM2-AS",1.67837179400994e-20,1.69967420524161e-18
"67","FBXO28",1.83478427710896e-20,1.850165234666e-18
"228","ADAP1",3.05018274252006e-20,3.06271951057194e-18
"412","SLC15A4",3.10987537514915e-20,3.10948172003837e-18
"3","SSU72",3.49905493384106e-20,3.48391196500973e-18
"384","CCDC65",3.63099147236144e-20,3.60015083349578e-18
"318","RAB18",5.25346580967517e-20,5.16561739800301e-18
"570","ARL16",5.25346580967517e-20,5.16561739800301e-18
"247","HSPB1",7.49170905441475e-20,7.33599295299448e-18
"225","MIR3918",1.30259399796927e-19,1.27027036913077e-17
"638","HNRNPL",1.54898150949343e-19,1.50435306682237e-17
"288","COL15A1",2.59603964180845e-19,2.51095311803816e-17
"94","SLC9A2",5.02532878110701e-19,4.84086244414199e-17
"452","SETD3",6.48744765430926e-19,6.22401000259784e-17
"392","MARS",8.18251235547518e-19,7.80145049076208e-17
"244","GTF2I",8.19749830020576e-19,7.80145049076208e-17
"704","NKILA",8.24002133358812e-19,7.81055142168151e-17
"426","ING1",1.4935000624918e-18,1.41001876417802e-16
"250","PILRA",1.65131437044122e-18,1.55282526334705e-16
"134","TRAIP",1.96701369739228e-18,1.82079389012128e-16
"299","C9orf16",1.96701369739228e-18,1.82079389012128e-16
"500","PSKH1",1.96701369739228e-18,1.82079389012128e-16
"617","MVB12A",1.96701369739228e-18,1.82079389012128e-16
"177","STARD4",2.71047349813362e-18,2.49922531071099e-16
"479","TBC1D24",3.26028047289483e-18,2.99452970411585e-16
"644","LTBP4",3.8773412848361e-18,3.54754271917997e-16
"91","ZAP70",7.58166827100029e-18,6.91010742376515e-16
"40","CRTC2",1.01740479491452e-17,9.20207687980509e-16
"640","PLEKHG2",1.01740479491452e-17,9.20207687980509e-16
"34","HIST2H2BE",1.39241080051517e-17,1.25459919162768e-15
"542","CDK12",2.27447604500763e-17,2.04160071358128e-15
"200","HCG14",3.31238337297533e-17,2.96202070903382e-15
"293","STOM",5.07493675725577e-17,4.5210818171688e-15
"599","MLLT1",6.17646230462769e-17,5.48178379148923e-15
"729","IL2RB",6.80383092637133e-17,6.01605900978438e-15
"422","LINC01047",7.8607279032577e-17,6.92474606407055e-15
"576","DLGAP1-AS1",8.9970935523684e-17,7.89644910779533e-15
"281","CEMIP2",9.39307651426731e-17,8.21356952614733e-15
"556","KPNA2",9.94686293125425e-17,8.66583863536514e-15
"336","DNMBP",1.12808898170037e-16,9.79206029280355e-15
"462","SPG21",1.14744857964523e-16,9.92375510651573e-15
"272","MIR7848",1.23808422169927e-16,1.06686842914937e-14
"264","LOC100130298",1.3732293874571e-16,1.179036840383e-14
"146","LINC01968",1.5320241745833e-16,1.31062732364984e-14
"330","DDIT4",1.63158666339898e-16,1.39078090512826e-14
"271","MIR1205",2.20962228251224e-16,1.87675337737249e-14
"713","PRDM15",2.54532736523553e-16,2.15416509192808e-14
"483","SOCS1",2.7221048249719e-16,2.29557715435441e-14
"485","MIR4718",3.35393126315685e-16,2.81837266464638e-14
"433","CMA1",3.69426596117302e-16,3.09339294989107e-14
"253","TAS2R38",5.23572125018874e-16,4.36869318541277e-14
"103","SP3",5.79340576186514e-16,4.8170644329445e-14
"156","PACRGL",7.43860295967923e-16,6.16337672501814e-14
"305","SURF4",9.09903986470532e-16,7.51289016285443e-14
"114","ARMC9",9.20951841125542e-16,7.5777068677611e-14
"437","PPP2R5E",9.39976364789954e-16,7.70748093994032e-14
"668","KIR2DL1",9.69653230318344e-16,7.92340434443234e-14
"203","BAG6",1.09178827871331e-15,8.89075836449114e-14
"193","ZFP62",1.09924017906219e-15,8.92078579562903e-14
"16","AHDC1",1.11858205033253e-15,9.04677093745047e-14
"446","LINC01220",1.1775571445568e-15,9.49135090291242e-14
"534","SLFN5",1.47554380721254e-15,1.18528683388188e-13
"47","LAMTOR2",1.64886924294523e-15,1.31118303523736e-13
"405","MLEC",1.64886924294523e-15,1.31118303523736e-13
"501","MIR1538",1.64886924294523e-15,1.31118303523736e-13
"98","PSD4",2.47737850016256e-15,1.96342603071412e-13
"77","EPAS1",2.70006962540104e-15,2.13278499710428e-13
"9","PLOD1",3.19717876384143e-15,2.51706130122095e-13
"649","CCDC97",3.48354041324842e-15,2.73342573419695e-13
"261","CHRNB3",4.05270892843795e-15,3.15911327227612e-13
"325","TET1",4.05270892843795e-15,3.15911327227612e-13
"503","ST3GAL2",4.81377588880052e-15,3.7400671225215e-13
"296","LMX1B",6.25340359080814e-15,4.84270931017583e-13
"294","MIR181A2HG",7.44413424867456e-15,5.74604720817072e-13
"57","IVNS1ABP",1.10610350775249e-14,8.51017364389961e-13
"44","GBA",1.34244914270057e-14,1.02951512409629e-12
"566","RNF213",1.41210033981959e-14,1.07943683073241e-12
"623","ZNF506",1.59087548145088e-14,1.21218573260262e-12
"190","COL23A1",1.71515821148989e-14,1.30269564543833e-12
"259","PEBP4",1.93148202173545e-14,1.46231084565703e-12
"182","PSD2-AS1",3.60920186082966e-14,2.72379797758218e-12
"207","ZNF76",3.67893563776101e-14,2.7588524622792e-12
"361","ARL2",3.67893563776101e-14,2.7588524622792e-12
"463","SCAMP2",4.4109110670807e-14,3.29732995446724e-12
"440","PIGH",4.43057329507399e-14,3.30161306205561e-12
"32","DRAM2",4.61922538017627e-14,3.42068074481366e-12
"78","TMEM247",4.61922538017627e-14,3.42068074481366e-12
"528","CORO6",4.77467912998953e-14,3.52478415399882e-12
"120","GAL3ST2",4.83972285940337e-14,3.56170536022614e-12
"324","C10orf71-AS1",5.7039583110695e-14,4.18472755719548e-12
"314","IL15RA",6.67604551537271e-14,4.8827855116601e-12
"138","ABHD10",6.90308969626079e-14,5.02294116234650e-12
"637","ECH1",6.91006802095185e-14,5.02294116234650e-12
"316","USP6NL",6.98303763034328e-14,5.06046002220932e-12
"220","NCOA7",7.39603159787747e-14,5.34340734069825e-12
