"","u(1)","u(2)","u(3)","u(4)","u(5)","u(6)","u(7)","u(8)","u(9)","u(10)"
"CD14 Mono",-0.391311928453482,-0.414827655835265,-0.360047784030566,-0.249315638101028,-0.272146353001355,-0.209175000862748,-0.343702595283079,-0.272581679543764,-0.31764472226366,-0.268052350055249
"CD16 Mono",-0.464427191131415,-0.356732218075257,-0.482269114123059,-0.426130804403038,-0.492827097293432,NA,NA,NA,NA,NA
"CD4 Naive",-0.377030870697423,-0.289034593942477,-0.114190054788554,-0.466408419177983,-0.280948481636272,-0.479207884567763,-0.386723089166227,-0.162405100426176,-0.243368308636498,NA
"CD4 TCM",0.395674824065707,0.3004019301744,0.215097927792003,0.35377858066959,0.24433443652,0.404983230403635,0.272669592041442,0.260803632518106,0.282723250454662,0.368460717014741
"CD8 TEM",-0.324400085541982,-0.2283023570232,-0.329621519888148,-0.316723928596096,-0.253361627849687,-0.369662433895272,-0.352433310339185,-0.165902719372143,-0.386303176169984,-0.363142810762575
"NK",-0.276900087808876,-0.214846598796029,-0.402707294154786,-0.393579016310592,-0.512709971258204,-0.545177181184378,NA,NA,NA,NA
