"","Control","MRSA","MSSA"
"CD14 Mono",0.194243127437861,-0.720032217433404,0.666200580381836
"CD16 Mono",-0.243228979878381,-0.567982482309521,0.786279570596132
"CD4 Naive",-0.163955693331025,0.840855379402394,-0.515830167355884
"CD4 TCM",0.400395662386018,-0.843324835534276,0.358450185260867
"CD8 TEM",-0.504656746128126,-0.256378838803468,0.824373373903571
"NK",0.357387086307037,-0.854093372264047,0.37788752558876
